,Intercept,Score,Coef
"1282.87, 1349.73",[0.01363224],0.4672735497474235,[[0.32613239]]
"1283.37, 1310.84",[0.01875644],0.6428468091069055,[[0.16628678]]
"1283.37, 1321.82",[0.02164431],0.3756442036153348,[[0.25901673]]
"1283.37, 1327.62",[0.02175038],0.33945026552287494,[[0.22960284]]
"1283.37, 1331.24",[0.01230188],0.22691462089522405,[[0.18294757]]
"1283.62, 1291.87",[0.01237447],0.46015825976035374,[[0.43777257]]
"1283.62, 1292.87",[0.00995359],0.4446268358762927,[[0.44212789]]
"1283.62, 1293.87",[0.015094],0.2974065854184764,[[0.29556561]]
"1283.62, 1294.87",[0.0088534],0.20843035298235046,[[0.56529271]]
"1283.62, 1296.84",[0.01743273],0.4514083508605744,[[0.36705438]]
"1283.62, 1297.37",[0.0069539],0.2788744714903447,[[0.15758919]]
"1283.62, 1305.87",[0.00563961],0.2520153895067133,[[0.38471548]]
"1283.62, 1306.73",[0.00831385],0.31534955350472105,[[0.20798235]]
"1283.62, 1308.87",[0.00818439],0.42567598701846715,[[0.35820811]]
"1283.62, 1310.84",[0.01659129],0.23426503316888858,[[0.22384758]]
"1283.62, 1313.83",[0.01257382],0.40681077473239635,[[0.35597412]]
"1283.62, 1314.87",[0.01039368],0.283159085148044,[[0.29122017]]
"1283.62, 1319.8",[0.02106765],0.2644127216357133,[[0.21338585]]
"1283.62, 1320.46",[0.03688232],0.29273333903180876,[[0.57233339]]
"1283.62, 1320.8",[0.00958186],0.2542464891829015,[[0.39086631]]
"1283.62, 1321.82",[0.00536273],0.3023129205370474,[[0.48449802]]
"1283.62, 1323.84",[0.01259794],0.24436355207566415,[[0.38147595]]
"1283.62, 1326.71",[0.00952669],0.3895124881895136,[[0.2133794]]
"1283.62, 1329.82",[0.01065674],0.5543669047791357,[[0.3875869]]
"1283.62, 1333.52",[0.01720073],0.2753143810204485,[[0.05107747]]
"1283.62, 1338.79",[0.01451858],0.3865701777958198,[[0.15755059]]
"1283.62, 1340.79",[0.01418868],0.3686936523811646,[[0.39773433]]
"1283.62, 1343.53",[0.02788996],0.21930898438258928,[[0.2309281]]
"1283.62, 1345.53",[0.01716978],0.20910961703130856,[[0.13011392]]
"1283.87, 1286.62",[0.01504065],0.35994107482024273,[[0.82793714]]
"1283.87, 1288.62",[0.01541245],0.23361935992899385,[[0.60787887]]
"1283.87, 1289.62",[0.0258513],0.39462528082723025,[[0.61707835]]
"1283.87, 1290.62",[0.0149119],0.2568621728484092,[[0.49836169]]
"1283.87, 1291.62",[0.01787612],0.3805791459504263,[[0.5441208]]
"1283.87, 1295.62",[0.01531772],0.5144001247355856,[[0.76323027]]
"1283.87, 1297.37",[0.00542804],0.34883695471304843,[[0.33668827]]
"1283.87, 1302.62",[0.02732684],0.47496734293058374,[[0.93340321]]
"1283.87, 1304.62",[0.0169537],0.4528630929162523,[[0.62542513]]
"1283.87, 1305.62",[0.01954866],0.32765784294732214,[[0.44156518]]
"1283.87, 1306.62",[0.01596708],0.3760423979713897,[[0.58049803]]
"1283.87, 1306.73",[0.00895127],0.2231859387432209,[[0.39420808]]
"1283.87, 1309.62",[0.01627251],0.4410863793145753,[[0.63953401]]
"1283.87, 1310.62",[0.01307473],0.6011563287042545,[[0.54206]]
"1283.87, 1315.85",[0.01523373],0.2961742861609773,[[0.30425769]]
"1283.87, 1319.62",[0.01372976],0.464631097179066,[[0.47421673]]
"1283.87, 1322.86",[0.01189696],0.25132408808187967,[[0.61651012]]
"1283.87, 1323.84",[0.00137057],0.3000027104811329,[[1.11430542]]
"1283.87, 1328.84",[0.01072122],0.48139470296547276,[[0.5543486]]
"1283.87, 1329.82",[0.01219621],0.3139505494514806,[[0.4443422]]
"1283.87, 1330.62",[0.0126203],0.2438811324489234,[[0.59960578]]
"1283.87, 1331.62",[0.01102096],0.343081242369511,[[0.21585557]]
"1283.87, 1339.62",[0.01625586],0.28168675006694355,[[0.19440387]]
"1283.87, 1339.86",[0.01673988],0.24122071548255763,[[0.30864832]]
"1283.87, 1340.79",[0.00969106],0.46343323618170557,[[0.8144749]]
"1283.87, 1342.62",[0.00453359],0.3371264555017681,[[0.77605454]]
"1283.87, 1346.73",[0.01163366],0.5389296427923709,[[0.48930632]]
"1283.87, 1348.78",[0.01052152],0.42969730639825676,[[0.65401965]]
"1283.87, 1349.73",[0.01303527],0.29462204715259244,[[0.47259883]]
"1283.87, 1359.97",[0.03038759],0.33425552056122054,[[0.18224297]]
"1284.04, 1295.81",[0.01549698],0.6039973947548368,[[0.37927604]]
"1284.04, 1300.87",[0.01707401],0.45300538861701956,[[0.2779478]]
"1284.04, 1313.98",[0.02761079],0.282792582298543,[[0.15171715]]
"1284.37, 1289.87",[0.02351113],0.25863349560153437,[[0.0808504]]
"1284.37, 1323.62",[0.01921145],0.7608998038856714,[[0.37654705]]
"1284.37, 1329.82",[0.01874429],0.3685945061488348,[[0.04795495]]
"1284.62, 1289.87",[0.00839835],0.2850686891693315,[[0.43957601]]
"1284.62, 1290.37",[0.00697714],0.20056060868711667,[[0.06670325]]
"1284.62, 1290.87",[0.01357906],0.4789583852560544,[[0.36647752]]
"1284.62, 1294.87",[0.00446299],0.6124949564350453,[[0.72057582]]
"1284.62, 1295.81",[0.01310178],0.44062412007721796,[[0.26737597]]
"1284.62, 1298.37",[0.00149381],0.28051268367062154,[[0.23111239]]
"1284.62, 1300.87",[0.01830203],0.315167357931199,[[0.22231518]]
"1284.62, 1302.81",[0.00948266],0.4155668287647505,[[0.37904095]]
"1284.62, 1305.87",[0.01098661],0.38665207667048024,[[0.2521906]]
"1284.62, 1306.73",[0.00647147],0.24004869858492006,[[0.27102338]]
"1284.62, 1307.37",[0.00564134],0.3966981736405877,[[0.22582142]]
"1284.62, 1312.72",[0.01229827],0.29970363031703173,[[0.1715862]]
"1284.62, 1314.19",[0.02696688],0.3135706283846579,[[0.14427827]]
"1284.62, 1316.76",[0.01128554],0.2573456213909484,[[0.32732911]]
"1284.62, 1320.8",[0.01274719],0.49798274787752295,[[0.37358464]]
"1284.62, 1321.82",[0.01036789],0.42423920974542484,[[0.41359035]]
"1284.62, 1326.71",[0.01174284],0.32471829317142065,[[0.14233076]]
"1284.62, 1328.84",[0.01627333],0.29942501120401355,[[0.15340116]]
"1284.62, 1331.76",[0.00599159],0.6918496999751872,[[0.28811125]]
"1284.62, 1332.81",[0.00533266],0.35221892565985957,[[0.31985109]]
"1284.62, 1333.77",[0.0108712],0.37591721538081857,[[0.26137797]]
"1284.62, 1336.81",[0.01467749],0.3955382633224089,[[0.15538722]]
"1284.62, 1340.79",[0.01690373],0.2615212684059449,[[0.37491563]]
"1284.62, 1344.8",[0.01411755],0.23146632718423843,[[0.0718443]]
"1284.62, 1349.73",[0.00682496],0.23888345089825636,[[0.37132305]]
"1284.62, 1357.01",[0.01789899],0.4437036269271356,[[0.14508603]]
"1284.86, 1289.37",[0.00717274],0.30698466395405444,[[0.0574398]]
"1284.86, 1292.37",[0.00760014],0.5390364049979681,[[0.2339029]]
"1284.86, 1301.62",[0.05420506],0.2160642702987391,[[0.53780698]]
"1284.86, 1306.62",[0.02147869],0.26274143820691387,[[0.40730009]]
"1284.86, 1307.62",[0.01734846],0.2393880154632798,[[0.58720093]]
"1284.86, 1310.84",[0.00724557],0.45642812024128315,[[0.65456992]]
"1284.86, 1312.72",[0.01487398],0.39975389765866554,[[0.26731106]]
"1284.86, 1315.62",[0.04864861],0.2342673609343311,[[0.68449623]]
"1284.86, 1320.62",[0.01994695],0.6044286434004369,[[0.51580415]]
"1284.86, 1326.71",[0.01377982],0.6477969785903515,[[0.31871829]]
"1284.86, 1331.76",[0.00539384],0.3285440353400073,[[0.68305704]]
"1285.03, 1299.07",[0.02400765],0.38698512814484287,[[0.59335323]]
"1285.37, 1312.72",[0.01756156],0.22326204564959318,[[0.41754636]]
"1285.37, 1327.62",[0.02030252],0.360223221619868,[[0.51679123]]
"1285.62, 1289.87",[0.00859955],0.39416077499933244,[[0.48582321]]
"1285.62, 1290.87",[0.01255408],0.2720250923034421,[[0.33221034]]
"1285.62, 1291.87",[0.00675654],0.3384580400161804,[[0.54296256]]
"1285.62, 1295.81",[0.01713628],0.4303150277858536,[[0.14227105]]
"1285.62, 1302.81",[0.01103123],0.3778220721759117,[[0.32343911]]
"1285.62, 1303.87",[0.01326155],0.6375466025001555,[[0.28029192]]
"1285.62, 1316.76",[0.01037782],0.3708260625590126,[[0.2408699]]
"1285.62, 1320.8",[0.00790663],0.38222938495809844,[[0.33080236]]
"1285.62, 1321.82",[0.00985026],0.3190395883634062,[[0.35122602]]
"1285.62, 1322.86",[0.01464941],0.3105314792298296,[[0.30957041]]
"1285.62, 1323.84",[0.01834251],0.2569217823157878,[[0.18861308]]
"1285.62, 1324.72",[0.01117758],0.2772382987133215,[[0.18933892]]
"1285.62, 1330.24",[0.01399292],0.212636096354334,[[0.06455271]]
"1285.62, 1331.76",[0.01278215],0.20035627494352815,[[0.15348133]]
"1285.62, 1333.77",[0.01777843],0.30097553224239915,[[0.14086788]]
"1285.62, 1336.81",[0.01198436],0.42516991210652866,[[0.12753326]]
"1285.62, 1345.53",[0.01947445],0.2666953254354526,[[0.11243582]]
"1285.62, 1346.73",[0.01223372],0.5336060359604873,[[0.22607429]]
"1285.62, 1347.8",[0.01592949],0.669188478841592,[[0.24990293]]
"1285.62, 1356.52",[0.01612477],0.26144018292111404,[[0.25225873]]
"1285.87, 1292.37",[0.00986163],0.7727996213355097,[[0.15403211]]
"1285.87, 1297.84",[0.01781824],0.24893989198087518,[[0.56235237]]
"1285.87, 1302.62",[0.03398285],0.2586198620040402,[[0.34606695]]
"1285.87, 1308.28",[0.01193244],0.38446181839268734,[[0.14686794]]
"1285.87, 1308.46",[0.01022821],0.20404817636158434,[[0.12694668]]
"1285.87, 1335.62",[0.02198205],0.2796369016326664,[[0.1448618]]
"1285.87, 1337.62",[0.01250442],0.513439106059666,[[0.53081985]]
"1285.87, 1341.85",[0.02026306],0.2160752756687233,[[0.35448559]]
"1286.05, 1309.01",[0.01202507],0.2660878072707167,[[1.43840307]]
"1286.62, 1289.87",[0.00750053],0.45317505043804707,[[0.51510284]]
"1286.62, 1291.87",[0.01040315],0.42998565763189245,[[0.55856507]]
"1286.62, 1293.87",[0.01830974],0.22817999574962977,[[0.311315]]
"1286.62, 1294.87",[0.00918109],0.6505273146171129,[[0.79809254]]
"1286.62, 1295.81",[0.00919501],0.31020297197507507,[[0.37654249]]
"1286.62, 1301.87",[0.01026948],0.4399633908570382,[[0.43811271]]
"1286.62, 1302.81",[0.01191972],0.3444575803898646,[[0.3564035]]
"1286.62, 1306.73",[0.00686868],0.4006017057486699,[[0.28905625]]
"1286.62, 1313.83",[0.00782009],0.6306194290298606,[[0.51843875]]
"1286.62, 1316.76",[0.00631687],0.3735020892767946,[[0.36236833]]
"1286.62, 1318.87",[0.01119173],0.2089340014314294,[[0.55942444]]
"1286.62, 1321.82",[0.0122255],0.2721771986268059,[[0.48088941]]
"1286.62, 1322.86",[0.0105631],0.20145155337732068,[[0.57046378]]
"1286.62, 1324.72",[0.01325742],0.603515776071327,[[0.27450352]]
"1286.62, 1326.71",[0.01587237],0.2435354799088587,[[0.13143759]]
"1286.62, 1333.77",[0.01515425],0.2517204700282174,[[0.22337376]]
"1286.62, 1335.76",[0.01720164],0.20665054906655578,[[0.0883603]]
"1286.62, 1340.79",[0.0130799],0.3561975014213755,[[0.47910664]]
"1286.62, 1347.8",[0.02000656],0.3868889228114124,[[0.28156207]]
"1286.62, 1348.78",[0.00777199],0.8812524896877931,[[0.43869911]]
"1286.87, 1296.84",[0.01981427],0.2603189552969516,[[0.90547576]]
"1286.87, 1320.8",[0.02351558],0.2912872169704287,[[0.27622484]]
"1286.87, 1328.84",[0.02187477],0.36695141840188683,[[0.31932513]]
"1286.87, 1329.62",[0.01869102],0.21551987300973774,[[0.21095976]]
"1286.87, 1329.82",[0.02058989],0.2770325084412324,[[0.17820763]]
"1286.87, 1330.24",[0.01444589],0.28689664404571846,[[0.11481437]]
"1286.87, 1331.62",[0.01129448],0.816413429664691,[[0.36110578]]
"1286.87, 1332.62",[0.02446938],0.26242103083190593,[[0.14641962]]
"1286.87, 1336.81",[0.01745606],0.3899823747845947,[[0.13887658]]
"1287.62, 1289.87",[0.00856167],0.5144876059031636,[[0.50560016]]
"1287.62, 1290.87",[0.01801978],0.33972770343188774,[[0.41543363]]
