m/z,R00X093Y045,R00X091Y049,R00X221Y050,R00X277Y050,R00X177Y052,R00X187Y052,R00X269Y052,R00X153Y054,R00X174Y054,R00X180Y054,R00X213Y054,R00X288Y054,R00X087Y055,R00X089Y055,R00X131Y055,R00X198Y055,R00X152Y056,R00X285Y056,R00X288Y056,R00X291Y056,R00X271Y057,R00X297Y057,R00X222Y058,R00X235Y058,R00X193Y060,R00X221Y060,R00X238Y062,R00X298Y062,R00X286Y063,R00X134Y064,R00X266Y064,R00X158Y065,R00X275Y066,R00X159Y068,R00X219Y069,R00X118Y070,R00X140Y070,R00X068Y071,R00X281Y071,R00X139Y073,R00X239Y073,R00X240Y073,R00X279Y073,R00X204Y074,R00X260Y074,R00X254Y076,R00X255Y076,R00X264Y076,R00X266Y077,R00X104Y078,R00X256Y078,R00X135Y079,R00X216Y084,R00X209Y085,R00X263Y089
1299.37,0.0,0.0,0.0,0.0,0.0,0.0,764525.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313888.5,0.0,0.0,0.0,0.0,0.0,0.0,558600.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403642.5625,0.0
1299.43,0.0,0.0,0.0,0.0,830387.75,0.0,0.0,28028524.0,0.0,0.0,1202409.125,0.0,443793.3125,0.0,0.0,421820.1875,625854.8125,0.0,0.0,0.0,0.0,0.0,0.0,792395.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3028164.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644949.8125,0.0,0.0,0.0
1299.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729408.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299.53,0.0,0.0,0.0,572420.625,549610.625,0.0,0.0,2734509.25,473424.0,0.0,1511323.625,482284.21875,479955.9375,0.0,702673.3125,351071.59375,0.0,0.0,0.0,0.0,0.0,0.0,347052.40625,0.0,1564773.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408337.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1688679.625,0.0,0.0,0.0,0.0,504025.46875,0.0,0.0,0.0,0.0,0.0,1005782.3125,363982.71875,0.0,0.0
1299.62,0.0,511846.21875,0.0,0.0,0.0,0.0,808335.125,0.0,787785.75,0.0,5048130.5,0.0,498672.90625,634040.4375,0.0,458271.625,611938.8125,0.0,472070.53125,0.0,0.0,0.0,0.0,1179019.0,2304404.25,0.0,0.0,0.0,0.0,0.0,497780.71875,1137692.875,0.0,0.0,0.0,1374277.875,688704.875,1191687.75,0.0,0.0,1417731.375,0.0,0.0,0.0,0.0,532979.625,0.0,0.0,0.0,1597595.625,0.0,0.0,0.0,704086.75,0.0
1299.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1909364.25,0.0,0.0,0.0,834084.625,0.0,0.0,653661.75,0.0,0.0,0.0,807957.0,472515.3125,0.0,1761793.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678702.5625,2045068.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135711.875,0.0,0.0,308349.59375,0.0,0.0,0.0,496503.5,0.0,0.0
1299.73,0.0,0.0,0.0,0.0,0.0,483067.90625,0.0,0.0,499816.15625,0.0,1054924.125,0.0,0.0,519091.09375,0.0,803966.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483083.71875,0.0,502987.1875,0.0,0.0,0.0,716961.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728449.125,0.0,0.0,0.0
1299.75,0.0,0.0,0.0,0.0,0.0,431489.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397181.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1229396.5,0.0,336677.65625,417465.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309987.6875,0.0,0.0
1299.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1484892.375,629710.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413669.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304178.25,0.0,0.0,359802.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387147.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299.9,0.0,418533.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675942.125,0.0,0.0,0.0,0.0,0.0,0.0,602428.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299.95,0.0,0.0,0.0,727757.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455503.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637473.75,0.0,0.0,0.0
1299.98,0.0,0.0,0.0,0.0,0.0,0.0,978464.6875,0.0,0.0,1708030.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770131.0,0.0,0.0,0.0,0.0,0.0,609004.0625,0.0,0.0,0.0,0.0,1274952.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894457.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2259032.75,0.0,620372.25,0.0,0.0,0.0,0.0,657395.5
1300.02,7721937.5,0.0,13051236.0,7747926.5,4978560.0,0.0,13244206.0,23470596.0,1599177.375,20263512.0,0.0,6206600.5,1841524.125,6583332.0,6372671.5,1508930.375,9081921.0,11040819.0,5117329.5,1516249.125,2495287.5,9661843.0,2716903.0,5928192.5,2189135.75,3190887.0,568493.125,2524651.25,20266488.0,1163010.25,2760611.25,3867416.75,1696928.125,7212771.5,1606689.125,11721708.0,719704.6875,1963763.375,6140159.5,51399080.0,3383750.25,1467062.0,4378411.5,19873390.0,828323.875,3006862.75,3037643.5,35473964.0,2496357.25,6011985.0,13657544.0,7708369.5,3078604.5,2519772.25,6464296.5
1300.06,0.0,0.0,0.0,585452.1875,0.0,0.0,0.0,1718151.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584955.9375,0.0,0.0,0.0,415924.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249760.625,335889.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300.09,0.0,0.0,0.0,0.0,0.0,446740.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248710.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468398.3125
1300.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338556.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324037.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047667.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5075019.0,0.0,0.0,0.0,0.0
1300.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492992.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363176.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300.23,897198.0625,0.0,0.0,600881.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724994.625,0.0,0.0,0.0,718205.75,0.0,579941.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1143118.25,0.0,0.0,0.0,375445.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7583363.5,556171.0625,346914.34375,0.0,0.0
1300.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529618.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
