,m/z,I,S/N,em,dbe,error,C,H,Class
20863,597.52521,7776565,40.6,597.5252196617,6,9.661700005381135e-06,40,69,O3
20867,597.56165,15068475,80.7,597.5616051705,5,4.482949998418917e-05,41,73,O2
20869,597.59823,3230017,15.6,597.5979906793001,4,0.00023932069984766713,42,77,O1
20871,598.3693,1752000,7.5,598.3690533695001,19,0.00024663049987339036,42,48,O2N1
20877,598.4271,1629642,6.8,598.4265682471,13,0.0005317528999739807,40,56,O3N1
20881,598.4631099999999,13856208,74.0,598.4629537559,12,0.00015624409991232824,41,60,O2N1
20884,598.48423,4800980,24.3,598.4840831247001,7,0.00014687529994716897,38,64,O4N1
20889,598.5359900000001,2067932,9.2,598.5357247735001,10,0.0002652265000051557,43,68,N1
20900,599.44712,3616884,17.8,599.4469693397,12,0.00015066030005073117,41,59,O3
20904,599.48336,4224634,21.1,599.4833548485,11,5.151499976818741e-06,42,63,O2
20906,599.50441,5318269,27.1,599.5044842173,6,7.421730003898119e-05,39,67,O4
20907,599.5198,2012288,8.9,599.5197403573001,10,5.9642699966389046e-05,43,67,O1
20910,599.5409900000001,11886211,63.2,599.5408697261,5,0.00012027390005187044,40,71,O3
20913,599.5773,14036617,75.0,599.5772552349,4,4.476510002859868e-05,41,75,O2
20915,600.38499,2676497,12.6,600.3847034339001,18,0.0002865660999304964,42,50,O2N1
20926,600.47864,6443809,33.3,600.4786038203,11,3.617970003233495e-05,41,62,O2N1
20929,600.49985,4404516,22.1,600.4997331891001,6,0.00011681089995363436,38,66,O4N1
20934,600.5514,2763053,13.1,600.5513748379001,9,2.5162099859699083e-05,43,70,N1
20946,601.46265,3795911,18.7,601.4626194041,11,3.059590005705104e-05,41,61,O3
20950,601.4990700000001,5468109,27.9,601.4990049129,10,6.508710009711649e-05,42,65,O2
20953,601.52005,6110161,31.5,601.5201342817,5,8.428170008301095e-05,39,69,O4
20954,601.53521,1533651,6.3,601.5353904217001,9,0.00018042170006538072,43,69,O1
20956,601.55648,10475479,55.4,601.5565197905,4,3.979050006819307e-05,40,73,O3
20958,601.5928,26585052,144.0,601.5929052993,3,0.00010529930000302556,41,77,O2
20964,602.4002,4153447,20.7,602.4003534983001,17,0.00015349830005106924,42,52,O2N1
20966,602.42095,1577386,6.5,602.4214828671,12,0.0005328671001052498,39,56,O4N1
20969,602.43665,1741165,7.4,602.4367390071001,16,8.90071000867465e-05,43,56,O1N1
20973,602.4732,2198643,10.0,602.4731245159,15,7.548409996616101e-05,44,60,N1
20975,602.49425,10025079,53.0,602.4942538847,10,3.884700049638923e-06,41,64,O2N1
20978,602.5154,7788667,40.7,602.5153832535001,5,1.674649990945909e-05,38,68,O4N1
20993,603.47833,4909345,24.9,603.4782694685,10,6.053150002571783e-05,41,63,O3
20997,603.5146599999999,7728423,40.3,603.5146549773,9,5.022699951950926e-06,42,67,O2
21000,603.5356099999999,8409386,44.1,603.5357843461001,4,0.0001743461001524338,39,71,O4
21003,603.60858,25590070,138.5,603.6085553637,2,2.4636299940539175e-05,41,79,O2
21009,604.4160099999999,5033411,25.5,604.4160035627,16,6.437299930439622e-06,42,54,O2N1
21011,604.43744,2533831,11.8,604.4371329315001,11,0.00030706849997841346,39,58,O4N1
21018,604.50962,9681364,51.1,604.5099039491,9,0.0002839490999804184,41,66,O2N1
21020,604.53103,13924823,74.4,604.5310333179001,4,3.317900109323091e-06,38,70,O4N1
21033,605.494,6701697,34.7,605.4939195329,9,8.04671000196322e-05,41,65,O3
21037,605.53038,8587911,45.1,605.5303050417,8,7.49583000470011e-05,42,69,O2
21040,605.5516200000001,11383434,60.4,605.5514344105001,3,0.00018558950000624463,39,73,O4
21042,605.62421,16468631,88.4,605.6242054281,1,4.5718999217569944e-06,41,81,O2
21044,606.35871,1558041,6.4,606.3588826095001,17,0.00017260950016861898,40,48,O4N1
21048,606.43177,8887078,46.7,606.4316536271,15,0.00011637290003818634,42,56,O2N1
21050,606.45293,3177258,15.3,606.4527829959001,10,0.00014700409997203678,39,60,O4N1
21057,606.5047,2293044,10.5,606.5044246447001,13,0.0002753552998910891,44,64,N1
21061,606.54674,13976379,74.7,606.5466833823001,3,5.661769989728782e-05,38,72,O4N1
21076,607.50967,5133288,26.1,607.5095695973,8,0.00010040270001354656,41,67,O3
21079,607.54611,15285230,81.9,607.5459551061,7,0.00015489390000311687,42,71,O2
