m/z,R00X141Y046,R00X153Y047,R00X155Y050,R00X283Y050,R00X302Y050,R00X263Y051,R00X109Y052,R00X180Y052,R00X094Y053,R00X267Y054,R00X283Y054,R00X284Y054,R00X089Y056,R00X173Y056,R00X126Y057,R00X286Y057,R00X081Y058,R00X145Y058,R00X236Y058,R00X265Y058,R00X290Y059,R00X136Y063,R00X158Y063,R00X183Y063,R00X284Y063,R00X151Y064,R00X182Y064,R00X285Y064,R00X116Y065,R00X275Y065,R00X267Y066,R00X280Y066,R00X205Y067,R00X271Y067,R00X069Y068,R00X276Y068,R00X116Y070,R00X270Y070,R00X271Y071,R00X272Y071,R00X273Y071,R00X180Y072,R00X276Y072,R00X268Y074,R00X174Y076,R00X187Y076,R00X124Y078,R00X267Y079,R00X246Y082,R00X169Y083,R00X201Y084,R00X221Y084,R00X217Y086,R00X247Y086,R00X204Y087,R00X266Y087,R00X262Y088
1297.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512604.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1297.52,2583600.75,1635678.375,1134407.0,0.0,1590709.75,0.0,3241767.6875,247461.34375,0.0,443585.65625,826527.6875,0.0,671813.25,0.0,604373.875,602230.125,633992.375,2420854.5,359309.65625,559904.1875,1906092.6875,0.0,838289.8125,553823.3125,0.0,1414279.3125,0.0,470388.3125,653834.4375,0.0,635294.125,0.0,2256315.1875,1169497.375,779897.25,523454.1875,1098071.0625,492903.40625,3070867.5,866005.5,1081962.25,0.0,561423.125,0.0,804815.125,581313.25,1230855.75,377852.875,0.0,564358.8125,690673.9375,780130.0,0.0,0.0,0.0,579644.4375,1800920.5625
1297.62,0.0,0.0,0.0,0.0,704674.875,426973.84375,0.0,0.0,436587.5,0.0,377314.84375,384472.0625,0.0,1451794.625,0.0,0.0,0.0,692004.6875,916157.53125,802814.59375,1060846.375,0.0,479889.21875,0.0,0.0,0.0,436794.1875,624337.25,0.0,0.0,0.0,906054.40625,964783.8125,0.0,1067681.375,0.0,0.0,1151463.84375,0.0,0.0,0.0,506823.46875,0.0,0.0,0.0,0.0,0.0,392455.09375,499926.5625,1572088.6875,0.0,0.0,733329.125,0.0,0.0,0.0,995774.0
1297.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696297.625,497929.375,0.0,0.0,430922.90625,690955.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671650.25,0.0,0.0,0.0,0.0,956465.0,0.0,0.0,0.0,724274.875,0.0,0.0,0.0,386540.3125,0.0,0.0
1297.71,0.0,0.0,0.0,0.0,0.0,0.0,840823.875,0.0,0.0,0.0,0.0,0.0,387229.125,1411717.25,1248447.25,684584.8125,758694.6875,0.0,342034.53125,0.0,0.0,0.0,0.0,0.0,810127.875,0.0,461852.1875,573304.75,0.0,0.0,0.0,345018.78125,1067763.0,0.0,0.0,0.0,779735.625,0.0,0.0,0.0,0.0,891309.25,0.0,0.0,0.0,269269.59375,742350.0,402518.84375,0.0,0.0,0.0,0.0,0.0,787206.4375,0.0,653005.625,0.0
1297.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222631.515625,0.0,0.0,0.0,0.0,0.0,0.0,642379.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600669.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1297.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330206.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1297.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395138.71875,0.0,0.0,0.0,0.0,519449.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1297.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583792.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1297.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564012.3125,0.0,0.0,1342368.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1658647.25,0.0,0.0,0.0,0.0,2318672.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2062038.5,0.0,0.0,0.0,1106254.5,0.0,0.0,0.0,1124213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1298.01,306026880.0,91526408.0,62122952.0,188205568.0,35669808.0,1574992.625,74191072.0,6258816.5,21677582.0,10802646.0,16781412.0,33647476.0,44600092.0,38964272.0,27465540.0,75510768.0,20711306.0,50304816.0,29853938.0,27666690.0,34580660.0,2448315.5,31356378.0,24224828.0,60229384.0,85529800.0,34129584.0,15531213.0,31490492.0,12120264.0,41172072.0,18284776.0,61448316.0,49659408.0,103718720.0,50208964.0,41991672.0,32255336.0,203841408.0,71747504.0,128910648.0,20116280.0,37472172.0,28985252.0,35149568.0,15891604.0,41749700.0,20377170.0,36988340.0,16021676.0,26526612.0,17118354.0,14784199.0,49870780.0,32263722.0,40103132.0,83123880.0
1298.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1311863.5,0.0,1114025.625,0.0,0.0,0.0,0.0,0.0,1584919.125,0.0,0.0,0.0,0.0,338084.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850421.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282056.0,0.0,0.0,0.0,1083526.625,0.0,3848690.5,2141381.75,0.0,0.0
1298.11,0.0,0.0,0.0,0.0,0.0,309183.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
