,Intercept,Score,Coef
"1303.84, 1320.62",[0.08528016],0.3505552937510937,[[0.57711997]]
"1304.81, 1332.21",[0.05401282],0.21382127876556423,[[0.31037711]]
"1305.56, 1320.62",[0.08016514],0.25611787320368506,[[0.75545058]]
"1306.62, 1324.02",[0.21796119],0.20438255678184947,[[-0.59543398]]
"1306.73, 1313.24",[0.03421209],0.29844053609898,[[0.45823089]]
"1308.37, 1326.32",[0.29320675],0.3711313689527763,[[1.52399427]]
"1311.98, 1314.0",[-0.00210319],0.7865782175025892,[[0.69236642]]
"1311.98, 1335.97",[0.00944248],0.7442052754857134,[[0.83979852]]
"1311.98, 1359.97",[0.00447798],0.6700873818069605,[[0.39800489]]
"1312.22, 1317.25",[0.05163504],0.2992840829655222,[[0.80551884]]
"1312.22, 1322.3",[0.06972714],0.31728125640690164,[[1.62582342]]
"1312.22, 1323.31",[0.06265511],0.34912198411732875,[[1.53647978]]
"1312.22, 1327.33",[0.0350579],0.39680006676529556,[[0.90812766]]
"1312.22, 1341.32",[0.0859415],0.3234708466216455,[[1.84323566]]
"1312.22, 1342.32",[0.03292109],0.27451269938128986,[[0.68748281]]
"1312.22, 1349.03",[0.05292404],0.25247728476366793,[[-0.33610911]]
"1313.24, 1320.29",[0.02888463],0.2936172352138491,[[0.49842318]]
"1313.24, 1322.3",[0.07810748],0.23932432468037093,[[1.65496103]]
"1313.24, 1326.32",[0.18439501],0.312413505695464,[[2.8332061]]
"1313.24, 1342.32",[0.04012738],0.21545929223091065,[[0.58191708]]
"1314.0, 1335.97",[0.01821221],0.585551275350928,[[1.1287748]]
"1314.0, 1336.98",[0.02758929],0.869086047047867,[[1.23342366]]
"1314.0, 1337.98",[0.01423649],0.7523736029194021,[[0.7046055]]
"1314.0, 1359.97",[0.0105726],0.5793376187380617,[[0.513981]]
"1315.62, 1319.43",[0.08997259],0.2344191135187924,[[0.48837866]]
"1315.62, 1344.55",[0.01764893],0.5421969826158829,[[0.2082731]]
"1316.24, 1321.29",[0.00779093],0.41315336083292775,[[0.11992457]]
"1316.24, 1322.3",[0.00271512],0.6646086629400758,[[0.4456604]]
"1316.24, 1323.07",[0.05889261],0.38243901000498187,[[-0.05975806]]
"1316.24, 1323.31",[-0.00103788],0.7470732406669658,[[0.40624841]]
"1316.24, 1324.8",[0.00537539],0.2623486300116442,[[0.09454603]]
"1316.24, 1325.04",[0.05765686],0.2458492200837713,[[-0.0735516]]
"1316.24, 1326.32",[0.01568113],0.9175357991464644,[[0.8836486]]
"1316.24, 1327.33",[0.00100259],0.6431409166400786,[[0.22426086]]
"1316.24, 1340.32",[-0.00045607],0.7171596033929489,[[0.55073404]]
"1316.24, 1341.32",[0.00478869],0.6429866635784196,[[0.49699819]]
"1316.24, 1349.03",[0.06128274],0.3412981564919878,[[-0.07420655]]
"1317.25, 1322.3",[0.04343349],0.30030245087673924,[[1.25125551]]
"1317.25, 1323.02",[0.9708096],0.26673532442746917,[[-2.49795997]]
"1317.25, 1323.31",[0.03779715],0.558125248298286,[[1.10558938]]
"1317.25, 1325.04",[0.05160319],0.315817750583544,[[-0.19444573]]
"1317.25, 1327.33",[0.02032454],0.5705615816133154,[[0.62227172]]
"1317.25, 1332.21",[0.01679516],0.3068822221206058,[[0.460952]]
"1317.25, 1338.3",[0.01602549],0.28301489364987353,[[0.29069201]]
"1317.25, 1340.32",[0.05154244],0.5347726069753868,[[1.52529003]]
"1317.25, 1341.32",[0.03981463],0.7928700590923563,[[1.47311959]]
"1317.25, 1347.02",[0.94063987],0.31494822983465187,[[-2.27176748]]
"1317.25, 1348.02",[0.26990134],0.36215682854558684,[[-0.80889839]]
"1320.29, 1323.02",[0.91367347],0.2281513587503724,[[-3.31739537]]
"1320.29, 1323.31",[0.05984702],0.25790031420304305,[[1.44587528]]
"1320.29, 1324.02",[0.25489544],0.202965658738958,[[-1.06461405]]
"1320.29, 1340.32",[0.11599253],0.2497264446311033,[[1.41469772]]
"1320.29, 1341.32",[0.10087383],0.46599045756715335,[[1.41018186]]
"1321.29, 1323.31",[0.08302982],0.4271183368456682,[[0.96620511]]
