m/z,R00X094Y044,R00X211Y047,R00X093Y048,R00X142Y048,R00X241Y049,R00X092Y050,R00X142Y050,R00X212Y051,R00X252Y052,R00X277Y052,R00X300Y052,R00X147Y054,R00X114Y055,R00X270Y055,R00X279Y055,R00X092Y056,R00X126Y056,R00X127Y056,R00X272Y056,R00X295Y056,R00X303Y056,R00X143Y059,R00X212Y059,R00X124Y060,R00X283Y060,R00X286Y061,R00X077Y062,R00X127Y063,R00X130Y063,R00X231Y063,R00X260Y064,R00X280Y064,R00X072Y065,R00X070Y066,R00X076Y067,R00X100Y067,R00X127Y067,R00X272Y067,R00X272Y068,R00X266Y069,R00X219Y070,R00X225Y070,R00X268Y070,R00X177Y071,R00X115Y072,R00X218Y072,R00X223Y072,R00X233Y072,R00X248Y074,R00X218Y077,R00X188Y079,R00X269Y079,R00X273Y081,R00X235Y082,R00X254Y082,R00X271Y083,R00X247Y084,R00X167Y085,R00X168Y085,R00X218Y085,R00X246Y085,R00X194Y086,R00X242Y087,R00X216Y088,R00X246Y088,R00X270Y088,R00X284Y088,R00X266Y092
1281.8,0.0,0.0,0.0,0.0,1287338.5,428264.5625,661022.75,0.0,0.0,501960.53125,0.0,0.0,316810.125,0.0,0.0,0.0,0.0,379788.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432809.84375,558210.9375,0.0,0.0,720921.65625,0.0,0.0,0.0,0.0,738732.125,0.0,0.0,0.0,737823.625,312727.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297491.09375,0.0,658322.125,0.0,626659.6875,0.0,349155.96875,469572.3125,0.0,627391.6875,0.0,0.0,0.0,670440.5625,433396.125,442988.0625,0.0,0.0
1281.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484319.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665909.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525076.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553225.25,0.0
1281.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575859.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477659.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243539.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687962.3125,0.0,0.0,0.0,0.0,0.0
1281.91,0.0,360961.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604826.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480085.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973832.875,303272.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547025.75,0.0
1281.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683142.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307434.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.96,0.0,0.0,0.0,0.0,0.0,386769.84375,0.0,0.0,0.0,959466.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637046.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1282.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455942.40625,0.0,0.0,0.0,0.0,0.0,529451.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324776.96875,0.0,0.0,0.0,387554.53125,0.0,0.0,0.0,0.0
1282.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444583.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1282.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288841.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1282.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310018.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300105.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417899.875,0.0,565580.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
