m/z,R00X159Y046,R00X104Y047,R00X163Y047,R00X165Y048,R00X167Y048,R00X175Y048,R00X164Y050,R00X182Y050,R00X189Y050,R00X127Y051,R00X172Y051,R00X289Y051,R00X145Y052,R00X156Y054,R00X157Y054,R00X201Y055,R00X218Y055,R00X248Y055,R00X128Y056,R00X115Y057,R00X177Y059,R00X156Y060,R00X279Y060,R00X191Y061,R00X088Y062,R00X163Y062,R00X166Y062,R00X167Y062,R00X175Y063,R00X086Y064,R00X140Y064,R00X249Y064,R00X173Y066,R00X242Y066,R00X155Y069,R00X164Y069,R00X142Y070,R00X148Y070,R00X163Y070,R00X186Y070,R00X112Y071,R00X142Y071,R00X234Y071,R00X301Y071,R00X170Y072,R00X168Y073,R00X215Y073,R00X237Y073,R00X075Y075,R00X154Y075,R00X160Y075,R00X168Y075,R00X233Y075,R00X099Y077,R00X142Y078,R00X145Y078,R00X168Y080,R00X139Y081,R00X154Y081,R00X139Y082,R00X235Y086
1280.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584178.0,0.0,0.0,0.0,1021440.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379508.21875,348110.46875,800843.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309866.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.09,0.0,0.0,0.0,500283.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289841.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.26,984906.875,318627.34375,0.0,0.0,0.0,0.0,518442.25,0.0,0.0,618009.25,0.0,410500.875,370838.6875,1304257.5,789967.875,0.0,653920.0625,0.0,0.0,901574.3125,0.0,0.0,0.0,705026.1875,0.0,0.0,0.0,0.0,484115.9375,377550.15625,0.0,319145.03125,1142950.6875,0.0,0.0,0.0,0.0,0.0,0.0,394443.125,0.0,0.0,0.0,0.0,0.0,1110704.3125,0.0,0.0,0.0,458314.3125,0.0,0.0,0.0,853440.25,0.0,0.0,622153.625,576331.5,0.0,0.0,0.0
1281.31,0.0,0.0,0.0,0.0,0.0,688615.6875,747707.25,0.0,864421.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142932.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359319.71875,0.0,0.0,0.0,0.0,612122.125,0.0,0.0,0.0,495326.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644684.875,0.0,0.0,0.0,0.0
1281.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754355.0,0.0,0.0,391738.8125,0.0,0.0,0.0,0.0,0.0,454632.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389006.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.37,0.0,0.0,0.0,569704.4375,0.0,0.0,987629.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.62,479667.28125,0.0,471014.15625,479521.15625,0.0,1570504.125,831137.5,463003.0625,2090616.34375,2930332.3125,1220135.3125,0.0,1264470.75,892095.625,552743.625,0.0,2109427.1875,511697.8125,316044.375,5067523.875,1736827.4375,2116460.0,912872.46875,409125.65625,1071269.53125,351353.71875,260631.421875,275690.21875,632136.1875,543841.625,0.0,0.0,0.0,433045.28125,0.0,0.0,1572289.59375,0.0,388923.21875,1334953.6875,0.0,687219.75,689136.75,0.0,0.0,1040231.96875,429495.59375,905741.125,0.0,1163152.1875,0.0,0.0,490698.1875,2317454.25,1368774.46875,855405.625,2278104.125,1088619.875,0.0,2360904.4375,362832.59375
1281.77,402794.9375,587797.125,594196.625,355862.6875,0.0,0.0,618753.5,0.0,1354275.875,2726231.625,984758.96875,0.0,0.0,525701.25,0.0,0.0,1365172.5625,0.0,0.0,927680.375,0.0,669010.625,957239.5625,943676.15625,0.0,1348714.78125,367007.1875,250226.90625,1403470.78125,1351952.09375,0.0,368289.625,0.0,0.0,0.0,302517.90625,1111340.21875,0.0,0.0,1024598.65625,403104.4375,1167034.875,0.0,0.0,339946.125,856175.1875,484987.53125,766360.0,0.0,530439.3125,294719.03125,0.0,406472.375,783880.625,0.0,0.0,0.0,456316.8125,352024.15625,1309683.375,747264.25
1281.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522872.875,675663.8125,0.0,499743.6875,391798.78125,0.0,0.0,0.0,0.0,911811.25,0.0,0.0,0.0,0.0,0.0,0.0,426242.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442133.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551668.1875
