x,y,score
443.2,487.19,0.838141107
457.18,503.22,0.837780059
444.22,457.22,0.837563706
472.22,542.23,0.837129501
487.23,528.22,0.836827947
442.17,487.23,0.836470272
487.23,499.23,0.836461867
487.19,542.23,0.836427964
443.2,445.22,0.836122432
485.21,497.21,0.835908845
457.18,487.23,0.83575218
459.23,513.24,0.835636386
445.22,458.2,0.835603281
431.2,471.2,0.835563598
432.19,445.18,0.835539492
487.19,516.22,0.83546803
472.22,503.22,0.835407208
442.17,544.25,0.835066077
443.2,472.22,0.835039044
501.21,528.22,0.834724011
586.26,598.26,0.834653623
542.23,556.25,0.834512072
446.2,502.24,0.834338524
457.22,471.2,0.834304229
472.22,529.24,0.834057895
445.22,517.24,0.833818783
503.22,598.26,0.833732518
388.16,390.14,0.833723593
428.19,516.22,0.83360227
388.16,428.19,0.833451971
444.22,471.2,0.833390401
487.19,586.26,0.833287779
497.21,511.23,0.833026391
400.16,428.15,0.832682212
416.15,428.15,0.832276749
511.23,516.22,0.832246432
429.19,513.21,0.832211014
499.23,528.22,0.831999264
433.18,446.2,0.831835313
400.16,457.18,0.831281226
445.18,470.2,0.831080887
457.18,501.21,0.831037315
386.18,400.16,0.830722673
503.22,528.22,0.830698509
459.23,528.25,0.830561876
458.2,485.21,0.830103664
416.19,527.22,0.829913491
445.18,502.24,0.829294853
443.2,513.21,0.829045024
487.23,501.21,0.828851186
439.12,455.15,0.828822228
442.17,497.21,0.828793236
442.17,445.18,0.828628088
487.23,516.22,0.828517721
416.19,445.22,0.828447747
472.22,527.22,0.828424202
400.16,487.19,0.82831097
470.2,472.22,0.828203396
431.2,443.2,0.828041158
443.2,514.24,0.827944189
457.22,459.23,0.827893296
376.16,388.16,0.827808264
445.22,502.24,0.827689713
487.23,511.23,0.827652171
446.2,487.19,0.827646436
473.21,527.22,0.827627797
456.19,457.22,0.827544426
502.24,503.22,0.827528082
487.19,528.22,0.827258245
388.16,487.19,0.827245133
430.21,485.21,0.827134386
443.2,446.2,0.826814928
446.2,457.22,0.826675189
430.17,431.2,0.826242876
447.2,472.22,0.826025008
430.21,487.23,0.82600657
514.24,527.26,0.82581401
499.19,501.21,0.825589345
430.17,442.17,0.825515227
442.17,529.24,0.825468636
471.2,499.23,0.825354024
460.22,472.22,0.825231223
461.18,470.2,0.825168055
471.2,511.23,0.825162047
483.2,513.21,0.824886047
443.2,455.2,0.824717244
443.2,528.22,0.824550326
416.15,429.19,0.82453283
416.19,516.22,0.824466028
470.2,513.24,0.824399967
458.2,472.22,0.824341945
418.17,445.18,0.824024782
457.22,499.23,0.823150188
473.21,503.22,0.823021268
390.14,400.16,0.823018809
400.16,430.17,0.822530879
455.2,471.2,0.821980408
444.22,470.2,0.82196635
461.18,471.2,0.82191765
416.19,542.23,0.821854509
446.2,485.21,0.821688541
503.22,511.23,0.821564984
528.22,556.25,0.821503845
483.2,542.23,0.821459489
457.18,470.2,0.821438061
470.2,530.23,0.821183565
528.22,586.26,0.821020785
388.16,428.15,0.820956419
