m/z,I,S/N,em,dbe,error,C,H,Class
426.31669,7766179,50.3,426.3166239,12,6.61E-05,31,40,N1
428.23845,1462714,7.6,428.2383735,18,7.65E-05,32,30,N1
428.33223,3402318,20.7,428.3322739,11,4.39E-05,31,42,N1
430.254,2397155,13.9,430.2540236,17,2.36E-05,32,32,N1
430.34794,4287479,26.7,430.347924,10,1.60E-05,31,44,N1
432.26974,2421643,14.1,432.2696737,16,6.63E-05,32,34,N1
432.36368,9138590,59.6,432.3635741,9,0.000105935,31,46,N1
434.28515,3356977,20.2,434.2853237,15,0.000173743,32,36,N1
436.3009,2885077,17,436.3009738,14,7.38E-05,32,38,N1
438.31657,4200568,25.9,438.3166239,13,5.39E-05,32,40,N1
440.23901,1311751,6.5,440.2383735,19,0.00063645,33,30,N1
440.33239,7152666,45.7,440.3322739,12,0.000116064,32,42,N1
442.348,1750714,9.4,442.347924,11,7.60E-05,32,44,N1
444.26981,2013766,11.2,444.2696737,17,0.000136321,33,34,N1
444.36364,3503449,21.2,444.3635741,10,6.59E-05,32,46,N1
446.28547,1800931,9.7,446.2853237,16,0.000146257,33,36,N1
446.37927,7575799,48.1,446.3792241,9,4.59E-05,32,48,N1
450.31678,2668828,15.4,450.3166239,14,0.000156128,33,40,N1
452.33237,6991286,44.2,452.3322739,13,9.61E-05,33,42,N1
454.34796,6724432,42.4,454.347924,12,3.60E-05,33,44,N1
456.36337,1571560,8,456.3635741,11,0.000204065,33,46,N1
458.28511,1475693,7.4,458.2853237,17,0.000213743,34,36,N1
458.37932,3100800,18.1,458.3792241,10,9.59E-05,33,48,N1
460.30105,2187268,12.1,460.3009738,16,7.62E-05,34,38,N1
460.39491,6858776,42.8,460.3948742,9,3.58E-05,33,50,N1
462.31683,2891163,16.7,462.3166239,15,0.000206128,34,40,N1
466.34786,3614406,21.5,466.347924,13,6.40E-05,34,44,N1
468.36359,6036059,37,468.3635741,12,1.59E-05,34,46,N1
470.37942,1984496,10.6,470.3792241,11,0.000195871,34,48,N1
472.30068,2160241,11.8,472.3009738,17,0.000293807,35,38,N1
472.39483,3973508,23.6,472.3948742,10,4.42E-05,34,50,N1
474.31661,2705157,15.3,474.3166239,16,1.39E-05,35,40,N1
474.41052,7039768,43.5,474.4105243,9,4.26E-06,34,52,N1
476.33211,3217050,18.6,476.3322739,15,0.000163936,35,42,N1
480.36346,2804420,15.9,480.3635741,13,0.000114065,35,46,N1
482.37919,5205850,31.2,482.3792241,12,3.41E-05,35,48,N1
484.39491,1609456,8.1,484.3948742,11,3.58E-05,35,50,N1
486.41044,3784840,22.1,486.4105243,10,8.43E-05,35,52,N1
488.42621,6544929,39.8,488.4261743,9,3.57E-05,35,54,N1
490.34799,2841256,16,490.347924,15,6.60E-05,36,44,N1
494.37932,3185377,18.2,494.3792241,13,9.59E-05,36,48,N1
496.39488,5533825,32.9,496.3948742,12,5.81E-06,36,50,N1
498.41035,2530338,13.8,498.4105243,11,0.000174258,36,52,N1
500.42622,3557317,20.3,500.4261743,10,4.57E-05,36,54,N1
502.34782,1940055,10,502.347924,16,0.000104001,37,44,N1
502.44189,5864811,35,502.4418244,9,6.56E-05,36,56,N1
506.37949,2627755,14.4,506.3792241,14,0.000265871,37,48,N1
508.39499,2969177,16.6,508.3948742,13,0.000115806,37,50,N1
510.31704,1698037,8.4,510.3166239,19,0.000416128,38,40,N1
510.41049,4229130,24.3,510.4105243,12,3.43E-05,37,52,N1
512.42629,2503102,13.4,512.4261743,11,0.000115677,37,54,N1
514.34822,1650785,8.1,514.347924,17,0.000295999,38,44,N1
514.44199,2893173,15.9,514.4418244,10,0.000165613,37,56,N1
516.36415,1859356,9.4,516.3635741,16,0.000575935,38,46,N1
516.4576,5005617,29.2,516.4574745,9,0.000125548,37,58,N1
522.4103,2100324,10.9,522.4105243,13,0.000224258,38,52,N1
524.42642,4537392,25.5,524.4261743,12,0.000245677,38,54,N1
526.44159,1617791,7.6,526.4418244,11,0.000234387,38,56,N1
528.45761,2644435,13.9,528.4574745,10,0.000135548,38,58,N1
530.47353,4029868,22.4,530.4731245,9,0.000405484,38,60,N1
536.42621,2329278,12,536.4261743,13,3.57E-05,39,54,N1
538.44201,3498284,19.1,538.4418244,12,0.000185613,39,56,N1
540.45743,1984287,9.5,540.4574745,11,4.45E-05,39,58,N1
542.47336,2611990,13.2,542.4731245,10,0.000235484,39,60,N1
544.48884,4111633,22,544.4887746,9,6.54E-05,39,62,N1
550.4421,3114231,16.2,550.4418244,13,0.000275613,40,56,N1
552.45748,4064504,21.8,552.4574745,12,5.55E-06,40,58,N1
554.47344,1387513,6,554.4731245,11,0.000315484,40,60,N1
556.48898,2536441,12.7,556.4887746,10,0.00020542,40,62,N1
558.50473,4343031,22.5,558.5044246,9,0.000305355,40,64,N1
562.44178,2247890,10.6,562.4418244,14,4.44E-05,41,56,N1
564.45746,2357958,11.2,564.4574745,13,1.45E-05,41,58,N1
566.47302,2627252,12.8,566.4731245,12,0.000104516,41,60,N1
568.48894,1642653,7.2,568.4887746,11,0.00016542,41,62,N1
570.50399,1426559,6,570.5044246,10,0.000434645,41,64,N1
572.51954,2698330,13.2,572.5200747,9,0.000534709,41,66,N1
576.45648,2097313,9.4,576.4574745,14,0.000994452,42,58,N1
578.47269,1767969,7.6,578.4731245,13,0.000434516,42,60,N1
580.48901,2781015,13.1,580.4887746,12,0.00023542,42,62,N1
586.53566,3196976,15.4,586.5357248,9,6.48E-05,42,68,N1
594.50469,2894292,13.9,594.5044246,12,0.000265355,43,64,N1
600.55138,2377326,11,600.5513748,9,5.16E-06,43,70,N1
606.50453,1645904,7,606.5044246,13,0.000105355,44,64,N1
608.52028,2436897,11.4,608.5200747,12,0.000205291,44,66,N1
612.55224,2174084,9.9,612.5513748,10,0.000865162,44,70,N1
614.56742,1994521,8.9,614.5670249,9,0.000395098,44,72,N1
618.50515,2243596,10.5,618.5044246,14,0.000725355,45,64,N1
622.53642,1787597,8,622.5357248,12,0.000695226,45,68,N1
626.56645,1620062,7,626.5670249,10,0.000574902,45,72,N1
632.52062,1577461,6.8,632.5200747,14,0.000545291,46,66,N1
636.55183,1765696,7.8,636.5513748,12,0.000455162,46,70,N1
642.59849,1889952,8.8,642.598325,9,0.000164969,46,76,N1
203.1442,1246578,8.2,203.1441388,5,6.12E-05,14,19,O1
209.09714,1057090,6.5,209.0971886,9,4.86E-05,15,13,O1
215.14405,1125480,7,215.1441388,6,8.88E-05,15,19,O1
217.15982,1296421,8.4,217.1597889,5,3.11E-05,15,21,O1
219.17546,8181446,66.3,219.1754389,4,2.11E-05,15,23,O1
231.17543,1906235,13.3,231.1754389,5,8.94E-06,16,23,O1
233.1911,1096579,6.6,233.191089,4,1.10E-05,16,25,O1
237.12854,1101800,6.6,237.1284887,9,5.13E-05,17,17,O1
243.17543,1594900,10.6,243.1754389,6,8.94E-06,17,23,O1
245.19104,1590712,10.5,245.191089,5,4.90E-05,17,25,O1
247.20679,1975118,13.6,247.2067391,4,5.09E-05,17,27,O1
251.14423,1220643,7.4,251.1441388,9,9.12E-05,18,19,O1
253.15986,1122241,6.6,253.1597889,8,7.11E-05,18,21,O1
253.25368,1109746,6.5,253.2536893,1,9.26E-06,17,33,O1
257.19112,1142896,6.7,257.191089,6,3.10E-05,18,25,O1
259.20673,1216254,7.3,259.2067391,5,9.07E-06,18,27,O1
261.22241,1994478,13.5,261.2223891,4,2.09E-05,18,29,O1
263.14418,1293221,7.9,263.1441388,10,4.12E-05,19,19,O1
265.15978,1465436,9.2,265.1597889,9,8.88E-06,19,21,O1
269.19108,1159037,6.7,269.191089,7,9.00E-06,19,25,O1
271.20675,1213415,7.2,271.2067391,6,1.09E-05,19,27,O1
273.22236,1801659,11.8,273.2223891,5,2.91E-05,19,29,O1
275.23802,1974649,13.2,275.2380392,4,1.92E-05,19,31,O1
279.17549,1166502,6.7,279.1754389,9,5.11E-05,20,23,O1
285.22238,1412992,8.6,285.2223891,6,9.13E-06,20,29,O1
287.23801,1952085,12.8,287.2380392,5,2.92E-05,20,31,O1
289.15986,3102093,21.8,289.1597889,11,7.11E-05,21,21,O1
289.25369,3329436,23.6,289.2536893,4,7.38E-07,20,33,O1
301.25373,1885028,12.1,301.2536893,5,4.07E-05,21,33,O1
303.26936,3995248,28.4,303.2693393,4,2.07E-05,21,35,O1
309.2219,1322099,7.7,309.2223891,8,0.000489134,22,29,O1
315.26935,2124418,13.8,315.2693393,5,1.07E-05,22,35,O1
317.28508,4807309,34.1,317.2849894,4,9.06E-05,22,37,O1
321.22248,1216547,6.8,321.2223891,9,9.09E-05,23,29,O1
325.25378,1233378,6.9,325.2536893,7,9.07E-05,23,33,O1
327.26947,1557519,9.3,327.2693393,6,0.000130673,23,35,O1
329.28503,2546759,16.7,329.2849894,5,4.06E-05,23,37,O1
331.30073,7203979,51.6,331.3006395,4,9.05E-05,23,39,O1
341.28449,1251297,6.9,341.2849894,6,0.000499391,24,37,O1
343.3006,2418910,15.4,343.3006395,5,3.95E-05,24,39,O1
345.22236,1250257,6.8,345.2223891,11,2.91E-05,25,29,O1
345.31635,6060643,42.3,345.3162895,4,6.05E-05,24,41,O1
355.30071,1162200,6,355.3006395,6,7.05E-05,25,39,O1
357.31621,2560518,16.2,357.3162895,5,7.95E-05,25,41,O1
359.33202,5736378,39.3,359.3319396,4,8.04E-05,25,43,O1
365.28516,1522524,8.6,365.2849894,8,0.000170609,26,37,O1
367.30088,1179042,6.1,367.3006395,7,0.000240544,26,39,O1
369.31643,1401450,7.7,369.3162895,6,0.00014048,26,41,O1
371.33207,2402102,14.8,371.3319396,5,0.000130416,26,43,O1
373.34765,6963717,47.3,373.3475896,4,6.04E-05,26,45,O1
379.30049,1374693,7.3,379.3006395,8,0.000149456,27,39,O1
385.34763,4929766,32.5,385.3475896,5,4.04E-05,27,45,O1
387.36333,13631163,93.2,387.3632397,4,9.03E-05,27,47,O1
389.28501,1218554,6.2,389.2849894,10,2.06E-05,28,37,O1
391.30082,1232974,6.3,391.3006395,9,0.000180544,28,39,O1
393.31668,1402912,7.5,393.3162895,8,0.00039048,28,41,O1
395.23847,1633755,9,395.2380392,14,0.000430802,29,31,O1
397.25297,1511337,8.1,397.2536893,13,0.000719262,29,33,O1
397.34754,1953727,11.2,397.3475896,6,4.96E-05,28,45,O1
399.26961,1415285,7.5,399.2693393,12,0.000270673,29,35,O1
399.36327,3614603,22.8,399.3632397,5,3.03E-05,28,47,O1
401.37894,10917716,73.5,401.3788898,4,5.02E-05,28,49,O1
405.31625,1238729,6.2,405.3162895,9,3.95E-05,29,41,O1
407.33215,1738634,9.6,407.3319396,8,0.000210416,29,43,O1
411.36346,1690374,9.3,411.3632397,6,0.000220287,29,47,O1
413.37899,2898368,17.6,413.3788898,5,0.000100222,29,49,O1
415.39455,6188408,40,415.3945398,4,1.02E-05,29,51,O1
421.34749,1430654,7.4,421.3475896,8,9.96E-05,30,45,O1
423.26929,1287450,6.4,423.2693393,14,4.93E-05,31,35,O1
425.28533,1307208,6.5,425.2849894,13,0.000340609,31,37,O1
425.37893,1416283,7.3,425.3788898,6,4.02E-05,30,49,O1
427.39471,1902087,10.5,427.3945398,5,0.000170158,30,51,O1
429.4102,6417202,41.1,429.4101899,4,1.01E-05,30,53,O1
439.39482,1715800,9.2,439.3945398,6,0.000280158,31,51,O1
441.41018,2022393,11.2,441.4101899,5,9.91E-06,31,53,O1
443.42585,5206168,32.6,443.42584,4,1.00E-05,31,55,O1
451.3007,2107620,11.7,451.3006395,14,6.05E-05,33,39,O1
451.39445,1323383,6.5,451.3945398,7,8.98E-05,32,51,O1
455.42574,2871338,16.8,455.42584,5,1.00E-04,32,55,O1
457.44167,4295107,26,457.44149,4,0.000179965,32,57,O1
467.42578,1332383,6.4,467.42584,6,6.00E-05,33,55,O1
469.44128,2143795,11.7,469.44149,5,0.000210035,33,57,O1
471.45721,4154568,24.7,471.4571401,4,6.99E-05,33,59,O1
483.45673,2340915,12.8,483.4571401,5,0.0004101,34,59,O1
485.47257,2812874,15.8,485.4727902,4,0.000220164,34,61,O1
497.47293,2293087,12.3,497.4727902,5,0.000139836,35,61,O1
499.48849,3366658,19.1,499.4884402,4,4.98E-05,35,63,O1
511.48844,2533618,13.6,511.4884402,5,2.28E-07,36,63,O1
513.50405,3412648,19.2,513.5040903,4,4.03E-05,36,65,O1
525.50458,1572391,7.4,525.5040903,5,0.000489707,37,65,O1
527.51992,2714361,14.3,527.5197404,4,0.000179643,37,67,O1
531.45744,1375381,6.2,531.4571401,9,0.0002999,38,59,O1
541.5353,2652715,13.4,541.5353904,4,9.04E-05,38,69,O1
551.51977,1393929,6,551.5197404,6,2.96E-05,39,67,O1
555.55108,2514443,12.6,555.5510405,4,3.95E-05,39,71,O1
569.56678,1664416,7.3,569.5666906,4,8.94E-05,40,73,O1
573.50411,1545535,6.6,573.5040903,9,1.97E-05,41,65,O1
581.5668,2035260,9,581.5666906,5,0.000109449,41,73,O1
583.58223,2234080,10.1,583.5823406,4,0.000110615,41,75,O1
595.48779,2602869,12.3,595.4884402,12,0.000650229,43,63,O1
597.59814,2187712,10,597.5979907,4,0.000149321,42,77,O1
599.51943,1568988,6.6,599.5197404,10,0.000310357,43,67,O1
611.61406,1892920,8.3,611.6136407,4,0.000419256,43,79,O1
617.47338,3234258,16.2,617.4727902,15,0.000589836,45,61,O1
621.50444,3292320,16.5,621.5040903,13,0.000349707,45,65,O1
625.62904,1478976,6.2,625.6292908,4,0.000250808,44,81,O1
627.55177,1700731,7.5,627.5510405,10,0.000729514,45,71,O1
639.64498,1454194,6.2,639.6449409,4,3.91E-05,45,83,O1
653.66033,1473423,6.3,653.6605909,4,0.000260937,46,85,O1
200.10806,1545616,10.8,200.1080877,7,2.77E-05,13,14,O1N1
208.07679,1535960,10.6,208.0767875,10,2.47E-06,14,10,O1N1
212.10811,1010011,6.1,212.1080877,8,2.23E-05,14,14,O1N1
214.12373,1703141,11.9,214.1237377,7,7.72E-06,14,16,O1N1
222.09244,2514748,18.6,222.0924376,10,2.41E-06,15,12,O1N1
226.12376,1415894,9.3,226.1237377,8,2.23E-05,15,16,O1N1
228.13939,1625490,11,228.1393878,7,2.22E-06,15,18,O1N1
234.09241,1152698,7,234.0924376,11,2.76E-05,16,12,O1N1
236.10811,1932033,13.5,236.1080877,10,2.23E-05,16,14,O1N1
240.13942,2530754,18.3,240.1393878,8,3.22E-05,16,18,O1N1
242.15506,1608056,10.7,242.1550378,7,2.22E-05,16,20,O1N1
248.10795,1402602,8.9,248.1080877,11,0.000137655,17,14,O1N1
250.12378,2050600,14.2,250.1237377,10,4.23E-05,17,16,O1N1
254.15508,2327010,16.3,254.1550378,8,4.22E-05,17,20,O1N1
254.24896,1437827,9.1,254.2489382,1,2.18E-05,16,32,O1N1
256.17067,1485978,9.5,256.1706879,7,1.79E-05,17,22,O1N1
262.12373,1409659,8.8,262.1237377,11,7.72E-06,18,16,O1N1
264.13932,1521728,9.7,264.1393878,10,6.78E-05,18,18,O1N1
266.15496,1228779,7.3,266.1550378,9,7.78E-05,18,20,O1N1
268.17073,1698299,11.1,268.1706879,8,4.21E-05,18,22,O1N1
270.18622,1196530,7,270.186338,7,0.000117977,18,24,O1N1
272.10805,1294971,7.8,272.1080877,13,3.77E-05,19,14,O1N1
274.12375,1357189,8.3,274.1237377,12,1.23E-05,19,16,O1N1
276.13938,1979962,13.2,276.1393878,11,7.78E-06,19,18,O1N1
278.15469,1320666,7.9,278.1550378,10,0.000347848,19,20,O1N1
278.24893,1759597,11.4,278.2489382,3,8.23E-06,18,32,O1N1
280.17067,1700712,10.9,280.1706879,9,1.79E-05,19,22,O1N1
280.26456,7108986,53.7,280.2645883,2,2.83E-05,18,34,O1N1
282.09247,1115282,6.3,282.0924376,15,3.24E-05,20,12,O1N1
282.1863,1315171,7.9,282.186338,8,3.80E-05,19,24,O1N1
284.10806,1210686,7,284.1080877,14,2.77E-05,20,14,O1N1
284.20198,1644494,10.4,284.201988,7,8.04E-06,19,26,O1N1
286.12345,1477146,9.1,286.1237377,13,0.000287719,20,16,O1N1
288.13928,1379049,8.3,288.1393878,12,0.000107783,20,18,O1N1
290.15505,2266923,15.3,290.1550378,11,1.22E-05,20,20,O1N1
292.17079,2013408,13.2,292.1706879,10,0.000102088,20,22,O1N1
294.18631,1355916,8.1,294.186338,9,2.80E-05,20,24,O1N1
296.10806,3632801,25.7,296.1080877,15,2.77E-05,21,14,O1N1
296.20196,1259310,7.3,296.201988,8,2.80E-05,20,26,O1N1
298.12373,2759099,18.9,298.1237377,14,7.72E-06,21,16,O1N1
300.13942,1823695,11.7,300.1393878,13,3.22E-05,21,18,O1N1
302.1551,2362588,15.8,302.1550378,12,6.22E-05,21,20,O1N1
304.1707,2278886,15.1,304.1706879,11,1.21E-05,21,22,O1N1
306.18635,1740780,10.9,306.186338,10,1.20E-05,21,24,O1N1
308.20195,1287408,7.4,308.201988,9,3.80E-05,21,26,O1N1
310.12378,5008616,36,310.1237377,15,4.23E-05,22,16,O1N1
310.21774,1397492,8.3,310.2176381,8,0.000101895,21,28,O1N1
312.13943,3451883,23.9,312.1393878,14,4.22E-05,22,18,O1N1
312.23335,1454327,8.7,312.2332882,7,6.18E-05,21,30,O1N1
314.1552,1421297,8.4,314.1550378,13,0.000162152,22,20,O1N1
316.17083,1378809,8.1,316.1706879,12,0.000142088,22,22,O1N1
318.18634,1675781,10.3,318.186338,11,2.02E-06,22,24,O1N1
320.20205,1313046,7.5,320.201988,10,6.20E-05,22,26,O1N1
322.21772,1557550,9.4,322.2176381,9,8.19E-05,22,28,O1N1
324.13941,5730880,40.9,324.1393878,15,2.22E-05,23,18,O1N1
324.2333,1452237,8.5,324.2332882,8,1.18E-05,22,30,O1N1
326.15506,3367272,23,326.1550378,14,2.22E-05,23,20,O1N1
328.17068,1835290,11.4,328.1706879,13,7.91E-06,23,22,O1N1
330.18633,1791958,11,330.186338,12,7.98E-06,23,24,O1N1
332.10813,1166735,6.3,332.1080877,18,4.23E-05,24,14,O1N1
332.20215,1635742,9.8,332.201988,11,0.000161959,23,26,O1N1
334.21753,1779313,10.9,334.2176381,10,0.000108105,23,28,O1N1
336.13953,1632829,9.7,336.1393878,16,0.000142217,24,18,O1N1
336.23332,1623757,9.7,336.2332882,9,3.18E-05,23,30,O1N1
336.32721,5421534,37.9,336.3271886,2,2.14E-05,22,42,O1N1
338.15505,4213795,28.9,338.1550378,15,1.22E-05,24,20,O1N1
338.24909,1549876,9.1,338.2489382,8,0.000151766,23,32,O1N1
340.17076,1714962,10.3,340.1706879,14,7.21E-05,24,22,O1N1
340.26462,1640739,9.8,340.2645883,7,3.17E-05,23,34,O1N1
342.18645,1828874,11.1,342.186338,13,0.000112023,24,24,O1N1
344.20171,1796299,10.8,344.201988,12,0.000278041,24,26,O1N1
346.21768,1826708,11.1,346.2176381,11,4.19E-05,24,28,O1N1
348.23349,1460004,8.4,348.2332882,10,0.00020183,24,30,O1N1
350.24912,1524540,8.8,350.2489382,9,0.000181766,24,32,O1N1
352.26481,1389403,7.8,352.2645883,8,0.000221701,24,34,O1N1
354.28044,1964928,12,354.2802384,7,0.000201637,24,36,O1N1
