,L0_330_O,L0_330_H,L0_354_O,L0_354_H,L0_378_O,L0_378_H,L0_402_O,L0_402_H,L0_426_O,L0_426_H,L0_450_O,L0_450_H,L2_330_O,L2_330_H,L2_354_O,L2_354_H,L2_378_O,L2_378_H,L2_402_O,L2_402_H,L2_426_O,L2_426_H,L2_450_O,L2_450_H,L5_330_O,L5_330_H,L5_354_O,L5_354_H,L5_378_O,L5_378_H,L5_402_O,L5_402_H,L5_426_O,L5_426_H,L5_450_O,L5_450_H,L8_330_O,L8_330_H,L8_354_O,L8_354_H,L8_378_O,L8_378_H,L8_402_O,L8_402_H,L8_426_O,L8_426_H,L8_450_O,L8_450_H
119,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,0.8,,,,,,,,,,,,,,,0.13333333333333333,1.6,,,,,,,,,,
121,,,,,,,,,0.13333333333333333,1.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,1.4666666666666666,,,,,,,,,,,,,,
123,,,,,0.125,1.375,,,,,,,,,,,0.13333333333333333,1.7333333333333334,,,,,,,,,,,,,,,,,,,0.125,0.875,,,,,,,,,,
124,,,,,,,,,0.125,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,0.8571428571428571,,,,,,
126,,,,,,,,,0.13333333333333333,2.0,,,,,,,,,,,,,,,,,,,,,,,0.125,0.875,,,0.13333333333333333,1.7333333333333334,,,,,,,,,,
127,,,,,0.125,1.5,,,,,,,,,,,,,,,0.13333333333333333,0.9333333333333333,,,,,,,,,,,,,,,,,,,0.15384615384615385,1.8461538461538463,,,,,,
128,,,,,,,,,,,,,,,,,0.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,0.14285714285714285,1.2857142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,1.4666666666666666,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,0.14285714285714285,0.8571428571428571,,,,,0.13333333333333333,1.8666666666666667,,,0.14285714285714285,1.8571428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,1.0,,,0.14285714285714285,1.0,,,,,,
