,m/z,I,S/N,em,dbe,error,C,H,Class
241,287.23801000000003,1952085.0,12.8,287.2380392,5,2.9199999999999998e-05,20,31,O1
242,289.15986000000004,3102093.0,21.8,289.1597889,11,7.11e-05,21,21,O1
243,289.25369,3329436.0,23.6,289.2536893,4,7.38e-07,20,33,O1
244,301.25372999999996,1885028.0,12.1,301.2536893,5,4.07e-05,21,33,O1
245,303.26936,3995248.0,28.4,303.2693393,4,2.07e-05,21,35,O1
246,309.2219,1322099.0,7.7,309.22238910000004,8,0.000489134,22,29,O1
247,315.26935,2124418.0,13.8,315.2693393,5,1.07e-05,22,35,O1
248,317.28508,4807309.0,34.1,317.2849894,4,9.059999999999999e-05,22,37,O1
249,321.22247999999996,1216547.0,6.8,321.22238910000004,9,9.09e-05,23,29,O1
250,325.25378,1233378.0,6.9,325.2536893,7,9.070000000000001e-05,23,33,O1
251,327.26947,1557519.0,9.3,327.2693393,6,0.000130673,23,35,O1
252,329.28503,2546759.0,16.7,329.2849894,5,4.0600000000000004e-05,23,37,O1
253,331.30073,7203979.0,51.6,331.3006395,4,9.05e-05,23,39,O1
254,341.28449,1251297.0,6.9,341.2849894,6,0.000499391,24,37,O1
255,343.3006,2418910.0,15.4,343.3006395,5,3.9500000000000005e-05,24,39,O1
256,345.22236000000004,1250257.0,6.8,345.22238910000004,11,2.9100000000000003e-05,25,29,O1
257,345.31635,6060643.0,42.3,345.3162895,4,6.05e-05,24,41,O1
258,355.30071,1162200.0,6.0,355.3006395,6,7.049999999999999e-05,25,39,O1
259,357.31621,2560518.0,16.2,357.3162895,5,7.950000000000001e-05,25,41,O1
260,359.33202,5736378.0,39.3,359.3319396,4,8.04e-05,25,43,O1
261,365.28516,1522524.0,8.6,365.2849894,8,0.000170609,26,37,O1
262,367.30088,1179042.0,6.1,367.3006395,7,0.000240544,26,39,O1
263,369.31642999999997,1401450.0,7.7,369.3162895,6,0.00014048,26,41,O1
264,371.33207000000004,2402102.0,14.8,371.3319396,5,0.000130416,26,43,O1
265,373.34765,6963717.0,47.3,373.3475896,4,6.04e-05,26,45,O1
266,379.30048999999997,1374693.0,7.3,379.3006395,8,0.00014945600000000001,27,39,O1
267,385.34763,4929766.0,32.5,385.3475896,5,4.04e-05,27,45,O1
268,387.36332999999996,13631163.0,93.2,387.3632397,4,9.03e-05,27,47,O1
269,389.28501,1218554.0,6.2,389.2849894,10,2.0600000000000003e-05,28,37,O1
270,391.30082000000004,1232974.0,6.3,391.3006395,9,0.000180544,28,39,O1
271,393.31667999999996,1402912.0,7.5,393.3162895,8,0.00039048,28,41,O1
272,395.23847,1633755.0,9.0,395.2380392,14,0.000430802,29,31,O1
273,397.25297,1511337.0,8.1,397.2536893,13,0.0007192619999999999,29,33,O1
274,397.34754,1953727.0,11.2,397.3475896,6,4.96e-05,28,45,O1
275,399.26961,1415285.0,7.5,399.2693393,12,0.000270673,29,35,O1
276,399.36327,3614603.0,22.8,399.3632397,5,3.0299999999999998e-05,28,47,O1
277,401.37894,10917716.0,73.5,401.3788898,4,5.02e-05,28,49,O1
278,405.31625,1238729.0,6.2,405.3162895,9,3.9500000000000005e-05,29,41,O1
279,407.33215,1738634.0,9.6,407.3319396,8,0.00021041599999999997,29,43,O1
280,411.36346000000003,1690374.0,9.3,411.3632397,6,0.000220287,29,47,O1
281,413.37899,2898368.0,17.6,413.3788898,5,0.000100222,29,49,O1
282,415.39455,6188408.0,40.0,415.3945398,4,1.0199999999999999e-05,29,51,O1
283,421.34749000000005,1430654.0,7.4,421.34758960000005,8,9.96e-05,30,45,O1
284,423.26929,1287450.0,6.4,423.2693393,14,4.93e-05,31,35,O1
285,425.28533,1307208.0,6.5,425.2849893999999,13,0.000340609,31,37,O1
286,425.37892999999997,1416283.0,7.3,425.3788898,6,4.02e-05,30,49,O1
287,427.39471,1902087.0,10.5,427.3945398,5,0.00017015799999999998,30,51,O1
288,429.4102,6417202.0,41.1,429.41018990000003,4,1.01e-05,30,53,O1
289,439.39482000000004,1715800.0,9.2,439.3945398,6,0.00028015799999999997,31,51,O1
290,441.41017999999997,2022393.0,11.2,441.41018990000003,5,9.91e-06,31,53,O1
291,443.42585,5206168.0,32.6,443.42584000000005,4,1e-05,31,55,O1
292,451.3007,2107620.0,11.7,451.30063949999993,14,6.05e-05,33,39,O1
293,451.39445,1323383.0,6.5,451.3945398,7,8.98e-05,32,51,O1
294,455.42574,2871338.0,16.8,455.42584000000005,5,0.0001,32,55,O1
295,457.44167000000004,4295107.0,26.0,457.44149000000004,4,0.000179965,32,57,O1
296,467.42578,1332383.0,6.4,467.42584000000005,6,5.9999999999999995e-05,33,55,O1
297,469.44128,2143795.0,11.7,469.44149000000004,5,0.000210035,33,57,O1
298,471.45721,4154568.0,24.7,471.45714010000006,4,6.99e-05,33,59,O1
299,483.45673,2340915.0,12.8,483.45714010000006,5,0.0004101,34,59,O1
300,485.47257,2812874.0,15.8,485.47279019999996,4,0.00022016400000000002,34,61,O1
301,497.47292999999996,2293087.0,12.3,497.47279019999996,5,0.000139836,35,61,O1
302,499.48849,3366658.0,19.1,499.48844019999996,4,4.98e-05,35,63,O1
303,511.48844,2533618.0,13.6,511.48844019999996,5,2.28e-07,36,63,O1
304,513.50405,3412648.0,19.2,513.5040903,4,4.03e-05,36,65,O1
305,525.50458,1572391.0,7.4,525.5040903,5,0.0004897069999999999,37,65,O1
306,527.5199200000001,2714361.0,14.3,527.5197404,4,0.000179643,37,67,O1
307,531.45744,1375381.0,6.2,531.4571401000001,9,0.00029989999999999997,38,59,O1
308,541.5353,2652715.0,13.4,541.5353904,4,9.04e-05,38,69,O1
309,551.51977,1393929.0,6.0,551.5197404,6,2.9600000000000005e-05,39,67,O1
310,555.55108,2514443.0,12.6,555.5510405,4,3.9500000000000005e-05,39,71,O1
311,569.56678,1664416.0,7.3,569.5666906,4,8.94e-05,40,73,O1
312,573.50411,1545535.0,6.6,573.5040903,9,1.9699999999999998e-05,41,65,O1
313,581.5668,2035260.0,9.0,581.5666906,5,0.000109449,41,73,O1
314,583.58223,2234080.0,10.1,583.5823406000001,4,0.000110615,41,75,O1
315,595.48779,2602869.0,12.3,595.4884402,12,0.000650229,43,63,O1
316,597.5981400000001,2187712.0,10.0,597.5979907000001,4,0.000149321,42,77,O1
317,599.5194299999999,1568988.0,6.6,599.5197404,10,0.000310357,43,67,O1
318,611.61406,1892920.0,8.3,611.6136407,4,0.000419256,43,79,O1
319,617.47338,3234258.0,16.2,617.4727902000001,15,0.0005898359999999999,45,61,O1
320,621.50444,3292320.0,16.5,621.5040903,13,0.000349707,45,65,O1
321,625.62904,1478976.0,6.2,625.6292908,4,0.000250808,44,81,O1
322,627.55177,1700731.0,7.5,627.5510405,10,0.0007295139999999999,45,71,O1
323,639.64498,1454194.0,6.2,639.6449409,4,3.91e-05,45,83,O1
324,653.6603299999999,1473423.0,6.3,653.6605909,4,0.000260937,46,85,O1
325,200.10806000000002,1545616.0,10.8,200.1080877,7,2.7699999999999996e-05,13,14,O1N1
326,208.07679,1535960.0,10.6,208.0767875,10,2.47e-06,14,10,O1N1
327,212.10811,1010011.0,6.1,212.1080877,8,2.23e-05,14,14,O1N1
328,214.12373,1703141.0,11.9,214.1237377,7,7.72e-06,14,16,O1N1
329,222.09243999999998,2514748.0,18.6,222.0924376,10,2.41e-06,15,12,O1N1
330,226.12376,1415894.0,9.3,226.1237377,8,2.23e-05,15,16,O1N1
331,228.13939,1625490.0,11.0,228.1393878,7,2.22e-06,15,18,O1N1
332,234.09241,1152698.0,7.0,234.0924376,11,2.7600000000000003e-05,16,12,O1N1
333,236.10811,1932033.0,13.5,236.1080877,10,2.23e-05,16,14,O1N1
334,240.13942000000003,2530754.0,18.3,240.1393878,8,3.2200000000000003e-05,16,18,O1N1
335,242.15506000000002,1608056.0,10.7,242.1550378,7,2.22e-05,16,20,O1N1
