,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
L2_450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13505307670042171,0.21253267808579696,0.16297769455713476,0.139548407063394,0.11056539785432026,0.11122198505886927,0.08050754569699602,0.04759321498306705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_orig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060086010366659295,0.010958920256153167,0.02326239661861734,0.041757505984943655,0.04992497645419497,0.061457643194727456,0.05997627812298787,0.0682407941508984,0.06322109746588218,0.05503173614691456,0.05842303362991012,0.05871575740512833,0.05040211206314658,0.04691761546264491,0.04622233963386965,0.03660824337020503,0.03820340952284109,0.03333214199801167,0.029594604157762293,0.029014600256631926,0.033347654124028604,0.023780857461297992,0.023898585854646447,0.021621593781130554,0.02042849445425826
L5_354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010160297220658119,0.02203264562346988,0.042124013191280216,0.05987046530876251,0.06816296913814837,0.05891785313505907,0.05935095986111983,0.042975595742956986,0.03986440221079226,0.038181971291305634,0.0455141937515905,0.041940839222978255,0.04607622408589016,0.035995750643158256,0.03408950750964689,0.032143201555897685,0.027521195396826292,0.031164393372822802,0.035713575191833886,0.026476618910785024,0.02645606395780686,0.025722254966447835,0.02421765882141937,0.026854654587976343,0.024250769369814667
L5_378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008748333529053104,0.016082472220173158,0.05130918870516494,0.07591745526231466,0.09262867670569133,0.06901076510410806,0.06558484663041395,0.04834834691292649,0.047754047814275245,0.040360379307928865,0.03614830037942075,0.03093966547292679,0.03822523810095928,0.03267349717898696,0.03551410803653798,0.03523707735995088,0.024832054566241282,0.02861488494282808,0.02856687869426449,0.023827161658113778,0.02176009389725948,0.028236467549683647,0.01930898476042759,0.019824970113440383,0.02003393595644333,0.014893012769756856
L5_402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003024694063444819,0.015924194356704762,0.046206953578025727,0.08572841386084147,0.10601735215989717,0.08768001281183938,0.08400585856339984,0.06613336932397235,0.056626950785443594,0.04922640798661749,0.04191956789689264,0.0377992567723589,0.03528769179039748,0.031046308322817278,0.031027997203730173,0.025829434709673024,0.023242294662589,0.020687697944243594,0.01864871177031517,0.01632430959484262,0.016113451205547007,0.013511483033789849,0.013092453179927197,0.010578377924891186,0.010561943255776777,0.009389585835178177
L5_426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1260895266291082,0.1681602713477527,0.14864997351394008,0.13140756010323082,0.17042875256509624,0.15721019116347326,0.09805372467739873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L5_450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1530571153771422,0.1506016454691308,0.15526845740044745,0.1398603308147959,0.12894917448967697,0.1576099824572117,0.114653293991595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L5_orig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011749723219286313,0.026459393259379994,0.04711714968578101,0.058542415205723695,0.06368044747652982,0.0513126942816443,0.038683590525481516,0.04261057059332154,0.033760661059780143,0.03939226730885573,0.039310602793937166,0.04165010828535836,0.03880394722137342,0.03637872815013306,0.03450859267334466,0.03373928038953572,0.03555795355758729,0.023290050504097024,0.03223769019716263,0.02889809581721247,0.025402798313776467,0.027867181789440126,0.026850514843625765,0.021835742940563355
L8_354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005329046666022342,0.011630374203046929,0.027123080397502615,0.04313299677067279,0.052501425279890886,0.06052948040984236,0.05645420827817478,0.05395996813519407,0.05295504540078749,0.04458796796124304,0.04436860577011066,0.044664249850883,0.043603182256572275,0.040418844127707805,0.03749632745644174,0.03089678060693013,0.03161732456361503,0.029679142130049005,0.029836901786595586,0.025079580603853742,0.027588163505212215,0.026171355966380584,0.025394432066398492,0.02207022466147838,0.01777152446453967
L8_378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012575135372460982,0.04380329904585113,0.0692261225265131,0.09009462157711604,0.06595623756013426,0.06540663053167645,0.05461950496162185,0.04104383023647786,0.03426890548702594,0.029315438210943384,0.034584402788694894,0.03234082966734491,0.03350876078253533,0.033831017610656586,0.029694048396119218,0.02841763886634515,0.025461424691296024,0.023987315791758147,0.023271716845987316,0.02766205324671705,0.022753126935363882,0.023608748752495835,0.021903574310067838,0.017942347989300236,0.013472373820183384
L8_402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003279941636510496,0.01512550781514389,0.04249572249499168,0.07944365245214116,0.09427975994529292,0.08995814299296255,0.08835881802939974,0.07057791296882136,0.06362221873283892,0.05278549621246384,0.044435884013450035,0.04116842837945302,0.037615395268831515,0.034069848066313996,0.032562572591017094,0.027722255303042738,0.025127069479157604,0.02032001820038038,0.017378533826825113,0.013493074788433241,0.015336251922876068,0.013559127458933711,0.01249454721109252,0.009486824672257954,0.009326750024457302,0.008206958449476252
L8_426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01252820641282267,0.0635967862227352,0.11949444483472162,0.17575267451457838,0.1647086313754117,0.11231998089163762,0.11228408060358157,0.0694779576904394,0.05260131488515449,0.03428402250364192,0.024713287841596307,0.016171569338842322,0.014538802815494092,0.008315817270320127,0.007293163120929235,0.005272355998653725,0.0040646662479629884,0.0,0.0025822374314766468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L8_450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037226755206564634,0.13429825415151822,0.1878612884068894,0.17311464588792666,0.14670867610462032,0.1024701416428817,0.08843887377102634,0.058345049759465216,0.03854026810508385,0.020512703918698208,0.012483343045325473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L8_orig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005329046666022342,0.011630374203046929,0.027123080397502615,0.04313299677067279,0.052501425279890886,0.06052948040984236,0.05645420827817478,0.05395996813519407,0.05295504540078749,0.04458796796124304,0.04436860577011066,0.044664249850883,0.043603182256572275,0.040418844127707805,0.03749632745644174,0.03089678060693013,0.03161732456361503,0.029679142130049005,0.029836901786595586,0.025079580603853742,0.027588163505212215,0.026171355966380584,0.025394432066398492,0.02207022466147838,0.01777152446453967
