,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10
depth,,,,,,,,,,
5.2,-4.205776869484651,0.5883465654277573,2.4480867956878813,2.458814818946419,0.4484955520403063,-2.0331035530749295,-1.233556229035392,-1.4133685496353994,0.5473257205620153,2.92682409303602
5.4,-3.125454513414425,7.071197417981241,0.9807268736750658,3.694619149937194,-0.6502938869691111,-2.2046851326524073,-0.8355590809808976,-1.3047081266147385,0.21898722727335496,0.7959236551080046
5.6,-2.8900037131969603,6.542496523862924,-1.1409677868416142,4.635079434418622,-0.681263753396353,-2.0559642997156877,-1.7982361204766233,-0.1566168746729235,-0.0052767262771767545,0.6168637258556858
5.8,0.7290913941818091,4.192077735758302,5.591722791692597,4.077322673335645,1.4237608769119985,-3.5148690584169366,-0.9549047562112825,-0.3304933118392203,-0.44170770229807493,1.7482870769963836
6.0,-6.732518396650309,1.8263420637728183,5.697573235906202,0.8510625304666243,0.26397493948483775,-3.5867998920838047,-3.091473629806854,0.7391274610598411,1.4820281717617168,0.313820411485579
6.2,2.5048303194295682,6.766510515792669,1.5794376548446742,4.379231770435667,3.6612100433909616,-3.7112942961655015,-0.7398482621747081,0.7449711664149598,-0.6763429059574378,1.8171094297317605
6.4,-1.9972721044119017,6.6956073454024425,-4.050617829198457,1.5070441421105694,0.7680518170976702,-4.291320832300276,1.007315185584415,0.9546579458880572,1.41554649468997,0.795864177387971
6.6,-4.476788134118045,3.333008758282033,-3.841653513705973,2.205677369815384,-2.4693870778638134,-1.9971809955235893,-1.3351830018296602,-0.38809600881883477,1.758058732486194,0.5930179446518249
6.8,-4.737408589149066,0.793753955937248,-4.534485464880948,5.174723217968562,-0.5347354375359731,-0.44287276359533795,-3.0865583818444544,-0.9407829752673336,-0.2404127009396694,-0.15422876725997656
7.0,-1.4006858912720557,-0.9798951702065289,-6.523464479881499,2.156635979867477,2.010547725700698,-0.22503525152947598,-0.06781645688938599,0.6548900741520163,-1.2477691392297279,0.0005475912356905772
7.2,-2.6112366780391225,-2.6170727732816785,-4.9623581390091305,2.9334376341100747,1.6815054820453152,0.21648213684405157,-0.7436555332178717,0.507187389448701,0.8771777035774919,-1.4682172767831918
7.4,-1.4398924413326337,-2.3227176626039956,-5.404624591385406,1.2389118160141217,2.671277178116228,0.3766561602411828,0.33650671135561716,1.1426282619172057,0.4527516686724442,-0.21644403274628535
7.6,0.2633646086283883,-2.079691860841898,1.9156622203393552,5.486083054409813,1.1297707833771704,-1.4727267402710909,-2.205188359059149,-0.17884066664281095,-0.40202665638214824,0.5602101497935629
7.8,-2.6045444348283477,-2.7735692758044372,-7.0764095196586005,1.4505586696330492,1.5143024539041918,-0.9839712372592548,-1.7194262248751655,0.4650985604085983,-0.3207188374228522,-0.3350219715036254
8.0,2.079328945324478,-3.1900219471013456,-5.143483314689459,1.0741311245694267,1.534216461746909,-1.169503333635447,1.50232701459462,-1.2093640182573477,-0.20837353655202576,-1.4206161903971462
8.2,-5.911321866414168,-4.753653507367107,-7.548478255893822,-3.1160116273190566,1.2942863182455993,0.05451600616397684,-0.6876523667141035,0.8046495503502513,0.9319863560155656,0.6988679685548256
8.4,-4.102544842584806,0.2971313899193258,-8.248884406689683,-0.41562095666204907,-0.8788447845682135,0.687496637824129,-0.08496948067972557,1.1731394025386273,0.7488225492583198,-2.5583155735969583
