,m/z,R00X323Y078
186,313.052797846243,243735.90625
187,313.11032018668,248314.5
188,313.19430248249,181081.1875
189,313.239789128856,239098.5625
190,313.246087928908,238756.171875
191,313.283135633942,199157.890625
192,313.341838854074,172623.09375
193,313.358551192766,179204.953125
194,313.371643848891,189819.828125
195,313.375063171967,172669.03125
196,313.471124857872,235321.46875
197,313.74039917935,231286.296875
198,313.958817377903,223083.09375
199,314.035887684112,197935.375
200,314.09683794746,167615.765625
201,314.132230442597,188649.1875
202,314.176041684986,213832.578125
203,314.219221648084,182604.25
204,314.305891289363,170705.78125
205,314.398218771068,238514.8125
206,314.43115143411,173692.109375
207,314.546240200797,228971.71875
208,314.578391759066,203473.953125
209,314.589544061662,181166.3125
210,314.595562826944,194674.34375
211,314.767034932205,183635.5625
212,314.859239232276,214006.1875
213,314.866587056045,199674.1875
214,315.001381871233,180637.96875
215,315.105805039422,227950.1875
216,315.124372067886,222518.96875
217,315.179994662235,340101.0625
218,315.188773557529,179540.0
219,315.212883403805,162946.90625
220,315.580951546481,179201.46875
221,315.729596066194,213430.1875
222,315.777983515882,192757.296875
223,315.880171776666,298722.0
224,315.999527006993,204704.0625
225,316.090192240239,163172.75
226,316.184331292505,219318.296875
227,316.233490695927,163998.78125
228,316.442045423595,196363.84375
229,316.5660239182,201348.84375
230,316.584211213024,175710.234375
231,316.590061770666,202325.53125
232,316.78966531118,251517.328125
233,316.83181185522,167109.5625
234,316.839552311084,193659.6875
235,316.902156172069,178313.8125
236,316.924584884601,204382.5
237,316.982764258061,220526.78125
238,316.993146891039,199152.59375
239,317.007443632956,245388.875
240,317.054011607636,211338.046875
241,317.065477665778,259832.296875
242,317.080466856558,260089.28125
243,317.111606102403,289936.5625
244,317.166925572589,192547.6875
245,317.184421880464,204074.828125
246,317.259686759386,189159.96875
247,317.567662610297,294482.59375
248,317.599004057841,221894.375
249,317.624949427661,166561.546875
250,317.645115887391,232064.46875
251,317.69925614917,199494.03125
252,317.812148717657,173464.84375
253,317.861190585805,190585.625
254,317.866793008816,241550.03125
255,317.994952553644,191186.796875
256,317.997777870622,196874.8125
257,318.049568859255,167991.90625
258,318.065429422035,194288.390625
259,318.071834959652,195322.3125
260,318.14036560002,163607.5625
261,318.181442021182,178157.1875
262,318.420377284121,232534.46875
263,318.514864667453,178941.890625
264,318.520543560094,168525.953125
265,318.568048067655,240705.0
266,318.597771875456,171747.453125
267,318.63412348765,230764.453125
268,318.979583816648,179554.203125
269,319.107329334426,175970.34375
270,319.120253970559,200495.0625
271,319.211847237474,245550.015625
272,319.351750996524,182583.578125
273,319.476957506,195207.75
274,319.561943371156,185692.796875
275,319.616210763874,180418.484375
276,319.654913611216,226752.09375
277,319.724460959234,241376.28125
278,319.839914796368,318557.8125
279,319.873000686199,199369.828125
280,320.058781742185,227078.09375
281,320.105655793227,275055.0
282,320.188566043824,215389.921875
283,320.242557297182,284095.1875
284,320.443958903337,209473.140625
285,320.482109409508,177825.078125
286,320.529455468961,215308.078125
287,320.586019983163,196532.5
288,320.643280640271,253503.4375
289,320.678803074191,204326.25
290,320.725556591736,243735.421875
291,320.7361185023,282870.71875
292,320.821298736487,253091.3125
293,320.832423542826,192605.453125
294,320.96887840262,188576.21875
295,321.032248773236,189544.375
296,321.177934415365,189724.96875
297,321.21835226439,206467.390625
298,321.236128578066,186116.8125
299,321.267093025755,189830.796875
300,321.475067084208,233491.953125
301,321.628253552797,193421.109375
302,321.701729541615,191503.90625
303,321.732511809397,171354.65625
304,321.825594822355,219175.21875
305,322.034213178902,182667.546875
306,322.218159198505,216476.671875
307,322.233218227321,229354.46875
308,322.244245741607,250103.25
309,322.319620975425,212806.046875
310,322.410450589473,186955.4375
311,322.542269039064,192545.859375
312,322.561152673387,210055.0
313,322.586047843678,194064.890625
314,322.639428465733,228485.3125
315,322.657556305162,195068.234375
316,322.672277944692,167719.296875
317,322.717356142279,199990.09375
318,322.749710914616,178732.21875
319,322.933728361116,292681.3125
320,322.992452893155,194024.140625
321,323.120357322545,179358.75
322,323.184121705317,186300.09375
323,323.219901027523,261622.5
324,323.296484927489,225057.6875
325,323.449890190702,214564.8125
326,323.579415070581,211713.421875
327,323.587414166001,271071.5
328,323.693041404877,199073.859375
329,323.82212810642,256519.671875
330,323.858137153643,180536.53125
331,323.959950550011,185533.46875
332,323.973871292959,224437.046875
333,324.010781709259,176649.609375
334,324.049764642206,178141.59375
335,324.126339717885,240610.5625
336,324.178042867522,244253.71875
337,324.35621530696,296653.8125
338,324.783118411675,253757.4375
339,325.022105262989,229382.8125
340,325.035193354886,192963.359375
341,325.087146912328,194052.265625
342,325.136031551059,186490.140625
343,325.140704042592,236391.734375
344,325.21526303286,201995.640625
345,325.312679689909,185989.421875
346,325.560400457228,182016.09375
347,325.61638855366,186816.046875
