m/z,I,S/N,em,dbe,error,C,H,Class
786.66876,3097955,15.8,786.6689031,10,0.00014315,54,89,N1Cl1
788.58972,1828914,8.4,788.5906528,16,0.000932828,55,79,N1Cl1
788.68419,4881199,26.2,788.6845532,9,0.000363214,54,91,N1Cl1
790.70006,6800117,37.4,790.7002033,8,0.000143278,54,93,N1Cl1
792.62109,3486903,18,792.621953,14,0.000862957,55,83,N1Cl1
794.63723,3590769,18.7,794.637603,13,0.000373021,55,85,N1Cl1
796.55924,1596969,7,796.5593527,19,0.000112699,56,75,N1Cl1
796.65355,3575333,18.6,796.6532531,12,0.000296915,55,87,N1Cl1
798.66861,4011476,21.1,798.6689031,11,0.00029315,55,89,N1Cl1
219.17548,1523036,10.3,219.1754389,4,4.11E-05,15,23,O1
221.0972,1011343,6,221.0971886,10,1.14E-05,16,13,O1
231.17548,1036086,6.1,231.1754389,5,4.11E-05,16,23,O1
235.11284,1124056,6.8,235.1128387,10,1.32E-06,17,15,O1
237.12848,1036440,6,237.1284887,9,8.75E-06,17,17,O1
245.09723,1689471,11.3,245.0971886,12,4.14E-05,18,13,O1
247.20675,1490911,9.6,247.2067391,4,1.09E-05,17,27,O1
259.11285,2106428,14.5,259.1128387,12,1.13E-05,19,15,O1
263.14422,1295326,7.9,263.1441388,10,8.12E-05,19,19,O1
273.12853,1231578,7.3,273.1284887,12,4.13E-05,20,17,O1
287.14424,1363443,8.2,287.1441388,12,0.000101188,21,19,O1
289.25374,1282428,7.5,289.2536893,4,5.07E-05,20,33,O1
303.26932,1455320,8.7,303.2693393,4,1.93E-05,21,35,O1
315.17534,1197975,6.7,315.1754389,12,9.89E-05,23,23,O1
317.28509,1761029,10.9,317.2849894,4,0.000100609,22,37,O1
331.30072,2686274,17.6,331.3006395,4,8.05E-05,23,39,O1
345.31617,1661400,9.8,345.3162895,4,0.00011952,24,41,O1
359.3321,1774973,10.3,359.3319396,4,0.000160416,25,43,O1
365.19147,1743283,10,365.191089,15,0.000380995,27,25,O1
367.2071,6265058,42.1,367.2067391,14,0.000360931,27,27,O1
369.22272,4492054,29.5,369.2223891,13,0.000330866,27,29,O1
373.34781,1438371,7.7,373.3475896,4,0.000220351,26,45,O1
387.3634,2583357,15.4,387.3632397,4,0.000160287,27,47,O1
397.25397,1378035,7,397.2536893,13,0.000280738,29,33,O1
401.3787,2131006,12.2,401.3788898,4,0.000189778,28,49,O1
415.39423,1331969,6.6,415.3945398,4,0.000309842,29,51,O1
421.25343,1332334,6.6,421.2536893,15,0.000259262,31,33,O1
429.40989,1567925,8.1,429.4101899,4,0.000299906,30,53,O1
443.42595,1677473,8.7,443.42584,4,0.000110029,31,55,O1
451.30113,1830167,9.6,451.3006395,14,0.000490544,33,39,O1
471.45745,1718078,8.6,471.4571401,4,0.0003099,33,59,O1
485.47278,1441644,6.8,485.4727902,4,1.02E-05,34,61,O1
499.48881,1398441,6.4,499.4884402,4,0.000369772,35,63,O1
573.50452,1705756,7.8,573.5040903,9,0.000429707,41,65,O1
589.44197,1467929,6.3,589.44149,15,0.000479965,43,57,O1
601.53557,2388234,11.6,601.5353904,9,0.000179578,43,69,O1
615.45619,1867922,8.5,615.4571401,16,0.0009501,45,59,O1
