,Unnamed: 0,0.5138,0.48382,0.4591,0.42902,0.47892,0.49402,0.42421,0.50394,0.48902,0.4137,0.46898,0.5189,0.4491,0.43906,0.40818,0.41865,0.54515,0.52428,0.53468,0.45396,0.47393,0.50893,0.44399,0.54982,0.53976,0.49902,0.52932,0.43418,0.46401
8621,"1300.02, 1346.97",[[0.13036109]],[[0.16398999]],[[0.18394497]],,[[0.15472839]],,,[[0.17077405]],,,,,[[0.15662886]],[[0.14754489]],,,,,,[[0.1676633]],,,[[0.16895369]],,,,,,[[0.19195054]]
8622,"1300.02, 1347.06",[[0.16311173]],[[0.17900426]],[[0.18646363]],,[[0.16899678]],,,[[0.14755275]],,,,,[[0.15457852]],[[0.19000997]],,,,,,[[0.17988703]],,,[[0.15154759]],,,,,,[[0.17925894]]
8939,"1301.03, 1323.02",,[[6.68409757]],,[[4.91157222]],[[6.65066654]],[[4.91891128]],[[12.02062133]],[[5.2271379]],,,[[7.46847952]],,[[10.96818524]],,,,,[[5.01123855]],,,[[7.48117483]],[[3.6133138]],[[4.67047816]],,,,[[3.57116909]],,[[7.28920437]]
8943,"1301.03, 1323.3",,[[-1.42018026]],,,,,[[-1.29348852]],,,,[[-1.05625534]],,[[-1.37420547]],,,,,,,,[[-1.2150904]],,[[-1.18519943]],,,,[[-1.08599446]],[[-1.15815992]],[[-0.79815789]]
8945,"1301.03, 1324.02",,[[2.08996416]],,,,[[1.85366044]],,[[1.59230867]],,,,,[[3.48128687]],,,,,[[1.95166024]],,,[[2.23697778]],[[1.62382155]],[[1.69273083]],,[[1.69571384]],,[[1.03830814]],,[[2.33916767]]
8968,"1301.03, 1347.02",[[3.61378348]],[[6.6201289]],,[[5.14694038]],,[[4.91802181]],[[11.48422966]],[[4.88150022]],,,[[6.45656929]],,[[10.81336161]],,,,,[[5.10185023]],,,[[7.30979599]],[[3.60574741]],[[4.63065752]],,[[3.85284768]],,[[3.58747842]],,[[7.22809735]]
8971,"1301.03, 1348.02",,,,[[1.62788732]],,[[1.90626015]],[[3.29928936]],[[1.52225489]],,,[[2.31956017]],[[1.98182344]],[[3.41946866]],,,,,[[1.69748276]],,,,[[1.57983963]],,,[[1.51075942]],,[[1.60137198]],,[[2.39326121]]
11707,"1312.22, 1316.24",,[[2.69062473]],[[2.10184057]],[[4.46860606]],[[3.12527755]],,,,[[3.64678841]],,,,[[2.6185271]],[[1.30181694]],,[[1.53791285]],,[[3.54733887]],,[[2.71205088]],,,,,,,[[3.83566928]],,[[2.85703301]]
11711,"1312.22, 1317.25",,[[0.89041921]],[[0.6227814]],[[1.28331258]],,,,,[[1.05361239]],,,[[0.80551884]],[[0.83668385]],,,,,[[1.01145494]],,,,,[[0.89300911]],,,,[[1.0104332]],,[[0.86846069]]
11720,"1312.22, 1322.3",,[[1.42273643]],[[1.20455906]],[[2.31402188]],[[1.37417055]],,,,[[1.95131952]],,,[[1.62582342]],[[1.67072194]],,,,,[[1.39447548]],,[[1.70779582]],,,[[1.61154202]],,,,,[[1.547383]],[[1.586176]]
11725,"1312.22, 1323.3",,[[1.22769139]],[[1.11902567]],,[[1.48252325]],,,,[[1.68088413]],,,,[[1.52130717]],[[0.76794947]],,,,[[1.34519588]],,[[1.29832897]],,,[[1.47224011]],,,,[[1.56766949]],[[1.377303]],[[1.32643742]]
11737,"1312.22, 1326.32",,[[2.62784711]],[[2.1416919]],,[[3.00460201]],,,,[[3.51868005]],,,,[[2.98779521]],,,[[2.05699434]],,[[2.85152239]],,[[3.00452172]],,,[[3.36670429]],,,,[[3.71065804]],[[3.44895669]],[[2.99972667]]
12065,"1313.22, 1316.24",,,[[2.26172768]],[[4.54509502]],,[[3.45820802]],,[[3.43106936]],[[3.14709622]],,,,[[2.71360511]],,,,,,,[[2.31686464]],[[3.12500355]],[[3.41926837]],,,,,[[3.87113809]],,
12067,"1313.22, 1317.25",,,[[0.77917604]],[[1.26984034]],,,,[[0.88964598]],[[0.85389776]],,,,[[0.93087038]],,,,,,[[0.80982002]],,[[0.89133834]],,,,,,[[1.00459788]],[[0.93777131]],
12077,"1313.22, 1322.3",,,,[[2.41802915]],,[[1.63444459]],,[[1.73916302]],[[1.85131538]],,,,,,,,,,[[1.51018183]],[[1.41168846]],[[1.57791922]],[[1.47751125]],,,,,[[1.58884829]],,
