m/z,0,1,2,3
417.22,1.540231708,4.418363552,10.83828385,-1.62689553
467.35,1.468244305,5.579306713,-1.193529395,-1.419694781
417.25,1.407716995,-6.930310468,10.18542866,-14.08811927
499.17,1.233113029,-5.861823547,4.773977351,-4.211568157
434.14,1.073057393,-1.810503612,5.46412053,-7.764977488
484.19,0.52581648,-2.99723643,-4.086616268,1.845023166
434.16,0.493528977,2.417716116,-0.037354765,0.280900494
543.21,0.434547097,-1.149970485,3.74041804,-1.268818279
511.17,0.364405689,-2.461050852,-3.413655633,-0.951421566
519.22,0.279395958,1.731045595,-0.541600252,0.359003609
403.23,0.270934037,5.999525374,3.716329403,3.236528204
523.17,0.179130069,-0.426076165,-3.5066811,1.444104924
381.13,0.114711063,-0.420609589,-0.660626105,4.503280656
534.21,0.051743192,6.658475954,2.89770825,4.122034406
419.16,-0.079855418,4.893025966,-4.673162231,3.085135538
377.14,-0.276429407,1.410041211,-1.503085098,-2.704563649
405.21,-0.369821985,-1.532726559,-0.673880443,-3.764118556
499.19,-0.655745521,-2.503096671,-0.172230301,1.744944127
498.21,-0.90081927,-1.137485691,-3.963683835,-2.771629356
481.2,-0.938343005,1.615389307,-1.780373191,4.982312993
436.18,-0.943347454,-3.414117879,-2.324760745,-2.335436217
433.26,-0.973734949,7.432229463,-9.960250838,3.250652938
469.13,-0.979747407,2.194949471,-2.211569884,7.653649225
451.14,-1.031234702,-0.413099467,3.986937151,-1.120841251
517.19,-1.095485323,4.986148302,-8.629192181,5.777663154
392.15,-1.215813093,-5.122133527,-2.942046738,-1.498834481
425.14,-1.423878774,-1.549870944,-4.699597134,0.312915489
422.16,-1.503701777,2.225975405,-8.011369195,3.230788439
379.2,-1.592970571,-4.165318477,5.760153022,-6.060105662
441.18,-1.91835402,-4.488185819,-0.978385712,-1.706397596
419.11,-2.044825919,-2.226371036,-1.672614741,-4.037014794
503.48,-2.146463454,-1.149432853,4.31284108,0.698867427
451.36,-2.404326256,-3.579137078,1.523767824,-4.192651493
453.17,-2.485939102,2.950852058,1.580648539,-1.539425453
457.17,-2.554175014,-3.22872303,5.591550295,-6.727062052
502.2,-2.576667853,-4.491227768,1.761589073,-3.639580195
481.21,-2.771395968,-4.477721696,2.840109331,-7.277227011
477.28,-2.930339032,-7.836207662,0.933935334,-0.62111489
389.1,-3.109946776,-4.821630969,-3.336129974,-1.310997544
420.12,-3.154406034,-4.087342379,1.776384588,-2.003520642
427.13,-3.170480663,3.388014429,-2.356470693,-12.05400345
378.21,-3.206257144,0.001420511,-3.364830338,-2.488833077
491.19,-4.003679734,-1.212772613,2.265707604,-6.037037482
383.13,-4.103446809,1.829680289,6.590731874,-3.957958966
436.22,-4.153893563,-0.670080648,2.025802655,-2.553646431
465.15,-4.241399765,-5.522656729,8.546130668,-4.785229494
505.15,-4.40978091,0.296481454,-1.15003372,1.674255561
449.23,-4.482365952,-0.497994728,10.04910245,-0.092644367
465.14,-4.982325756,-1.430700986,1.282958354,-2.15731852
529.18,-5.174599619,0.363911587,3.922314679,-4.444002048
391.23,-5.236101207,1.514429291,-14.01693556,5.602927223
451.23,-5.322082345,-4.421646174,3.205149357,-5.346396495
483.22,-5.705750438,-2.576164757,0.585973353,-8.727298882
512.22,-5.724344066,3.073146264,1.154598699,-7.169295172
447.15,-6.274386229,-5.152485453,2.576852837,-9.353643628
459.15,-6.450883623,0.213483068,-1.950557909,-1.924456201
469.17,-6.596496189,-1.543953847,6.042015965,-5.345496
431.16,-6.639356938,0.872793598,-0.280375729,0.228374892
517.26,-6.844079443,0.242405583,0.775856013,-10.65923175
379.13,-6.954893804,2.628938276,3.74404528,-5.356338726
453.21,-7.298999745,-0.536060147,-3.447220678,-1.941575489
436.15,-7.728007751,-4.810404001,1.403785465,-11.12179034
