,newindices,pixel_x,pixel_y,ccat
R00X189Y070,0.06434221354253665,7.803265799999998,24.2735526,0.47700000000000004
R00X193Y070,0.8560274502548232,7.8481172,24.954558199999997,0.496
R00X195Y070,0.9056412166896276,7.870521999999999,25.295060999999997,0.45299999999999996
R00X199Y070,0.28545499633810617,7.915331599999999,25.9760666,0.452
R00X202Y070,0.8939824349281852,7.9489806,26.486820799999997,0.452
R00X203Y070,0.8847068311369344,7.960183,26.657072199999998,0.413
R00X210Y070,0.9383318357331759,8.0386416,27.848873800000003,0.35600000000000004
R00X213Y070,0.9163399514933015,8.072248799999999,28.355322599999997,0.478
R00X214Y070,0.07687575351232785,8.0834512,28.522397199999993,0.48700000000000004
R00X217Y070,0.913230794008697,8.1170584,29.023537400000002,0.44299999999999995
R00X219Y070,0.8466423045267489,8.139505,29.3576448,0.5379999999999999
R00X221Y070,0.8954431814135423,8.161909799999998,29.691752199999996,0.524
R00X225Y070,0.8613640053870044,8.206719399999999,30.359967,0.541
R00X227Y070,0.3116805107235984,8.229166,30.694074399999998,0.457
R00X228Y070,0.7619659877255539,8.2403684,30.861148999999994,0.461
R00X232Y070,0.18793728314998168,8.285178,31.5293638,0.484
R00X236Y070,0.011840608347143653,8.330029399999999,32.19757859999999,0.47700000000000004
R00X238Y070,0.050637776273240606,8.3524342,32.53168599999999,0.45
R00X239Y070,0.8644794298945855,8.3636366,32.6987188,0.418
R00X240Y070,0.9103792420142559,8.374839,32.8657934,0.44799999999999995
R00X241Y070,0.9030576242323864,8.386041399999998,33.032826199999995,0.475
R00X245Y070,0.11949232712873878,8.430892799999999,33.701041,0.43700000000000006
R00X248Y070,0.26842720106569945,8.4645,34.202223,0.467
R00X251Y070,0.8707557075160093,8.4981072,34.703405,0.525
R00X253Y070,0.8952909840936728,8.520553799999998,35.0375124,0.532
R00X254Y070,0.1854048218051998,8.5317562,35.2045452,0.461
R00X259Y070,0.8817105594666946,8.5877682,36.0398346,0.519
R00X263Y070,0.5946289342857386,8.6326196,36.7211328,0.502
R00X264Y070,0.09277254651770767,8.643821999999998,36.8961494,0.51
R00X266Y070,0.91250843378841,8.666226799999999,37.2461826,0.5329999999999999
R00X267Y070,0.8293783662319144,8.6774292,37.4211992,0.47100000000000003
R00X268Y070,0.883995433213823,8.688631599999999,37.596215799999996,0.542
R00X270Y070,0.8469237030676355,8.7110782,37.946248999999995,0.5489999999999999
R00X272Y070,0.923521694796597,8.733483,38.29628219999999,0.5720000000000001
R00X273Y070,0.8402870706502925,8.7446854,38.4712988,0.501
R00X274Y070,0.2635254761005623,8.755887799999998,38.6463154,0.518
R00X279Y070,0.1114096422686323,8.811941599999999,39.5213984,0.457
R00X281Y070,0.21325122662384532,8.8343464,39.871431599999994,0.527
R00X282Y070,0.17643547284132105,8.8455488,40.04644819999999,0.509
R00X299Y070,0.9701868749259142,9.036073199999999,42.9946858,0.467
R00X300Y070,0.9040758431138592,9.047275599999999,43.162972599999996,0.452
R00X090Y071,0.7221061026616395,6.506546199999999,3.9334217999999996,0.45
R00X097Y071,0.8672644304770282,6.585004799999999,5.2984843999999995,0.44799999999999995
R00X108Y071,0.8639254571275063,6.708314799999999,7.354960799999999,0.488
R00X114Y071,0.17063492340168696,6.775529199999999,8.5935366,0.5589999999999999
R00X116Y071,0.022121621857224324,6.797934,9.006478799999998,0.462
R00X117Y071,0.8470123033313086,6.8091782,9.212928999999999,0.449
R00X125Y071,0.01873344433360711,6.8988392,10.823733799999998,0.374
R00X132Y071,0.44715768031908093,6.977255999999999,12.5971824,0.493
R00X133Y071,0.8083183513259432,6.988458399999999,13.262345799999999,0.44299999999999995
R00X136Y071,0.022580358827049264,7.0221073999999994,15.440501999999999,0.484
R00X138Y071,0.8605950066475591,7.044512200000001,15.989628599999998,0.465
R00X142Y071,0.2094474863968822,7.0893218,16.5554752,0.406
R00X146Y071,0.848749799894488,7.134173199999999,17.2699626,0.444
R00X147Y071,0.8945770758629408,7.1453755999999995,17.4265872,0.48100000000000004
R00X149Y071,0.8637500359971202,7.167780399999999,17.7397946,0.474
R00X151Y071,0.8596931342246383,7.190226999999999,18.053002,0.47700000000000004
R00X153Y071,0.3789827276211606,7.212631799999999,18.3662512,0.465
R00X158Y071,0.10719311254170691,7.268643799999999,19.149290599999997,0.389
R00X159Y071,0.824649481704118,7.279846200000001,19.3059152,0.389
R00X165Y071,0.7605424184928252,7.3471024,20.275842400000002,0.51
R00X167Y071,0.12894449511690506,7.369507199999999,20.616345199999998,0.442
R00X168Y071,0.8696897394872358,7.3807513999999985,20.786596599999996,0.429
R00X171Y071,0.022575074084296456,7.4143586,21.297350799999997,0.456
R00X172Y071,0.40514429452673617,7.425561,21.4676022,0.508
R00X174Y071,0.9028884219814634,7.447965799999999,21.808104999999998,0.525
R00X175Y071,0.8708888093039875,7.4591682,21.9783564,0.449
R00X180Y071,0.39966598421208155,7.515221999999999,22.8296134,0.507
R00X187Y071,0.7047886044049727,7.5936806,24.021414999999998,0.48200000000000004
R00X189Y071,0.033053579994121576,7.616085399999999,24.3619178,0.452
R00X191Y071,0.08064246486252565,7.6384902,24.702420599999996,0.478
R00X192Y071,0.8150786862091907,7.6496926,24.872671999999998,0.45799999999999996
R00X193Y071,0.8455005942176208,7.660895,25.0429234,0.465
R00X195Y071,0.9029126440889862,7.6833416,25.3834262,0.457
R00X197Y071,0.008381465839642095,7.705746399999999,25.723929,0.475
R00X198Y071,0.010984157624354904,7.716948799999999,25.8941804,0.441
R00X199Y071,0.034364428983724334,7.7281512,26.064431799999994,0.484
R00X200Y071,0.8984484656149448,7.7393536,26.2346832,0.456
R00X201Y071,0.8497157258487377,7.750555999999999,26.4049764,0.43700000000000006
R00X202Y071,0.8456882904776551,7.761758399999999,26.575227799999997,0.474
R00X203Y071,0.8552200535683204,7.773002599999999,26.745479200000002,0.488
R00X212Y071,0.13376656338743123,7.873866,28.274982999999995,0.491
R00X213Y071,0.9031403159446141,7.8850684,28.4420576,0.493
R00X214Y071,0.8471153194496888,7.896270799999998,28.6090904,0.456
R00X217Y071,0.7939867455905598,7.9298779999999995,29.1102724,0.45899999999999996
R00X220Y071,0.8184066377623148,7.963526999999999,29.611412599999994,0.48700000000000004
R00X224Y071,0.8986909291627773,8.0083366,30.2796274,0.491
R00X229Y071,0.904425185626764,8.064390399999999,31.114916800000003,0.44299999999999995
R00X233Y071,0.2080061112903568,8.1092,31.783131599999997,0.49700000000000005
R00X234Y071,0.23637667157142223,8.1204024,31.950206199999993,0.40700000000000003
R00X239Y071,0.9181270572115586,8.1764562,32.7854538,0.47
R00X243Y071,0.1733633649570889,8.2212658,33.4536686,0.43
R00X250Y071,0.14753545886291375,8.299724399999999,34.623065399999994,0.48700000000000004
R00X251Y071,0.8727942901160857,8.310926799999999,34.790098199999996,0.489
R00X255Y071,0.0847020588059669,8.3557782,35.458313,0.524
R00X261Y071,0.9001318143779429,8.422992599999999,36.4935736,0.45
R00X263Y071,0.0728864023408437,8.4454392,36.843606799999996,0.51
R00X264Y071,0.15381095518657778,8.4566416,37.0186234,0.46799999999999997
R00X265Y071,0.6533236169498653,8.467844,37.193639999999995,0.461
R00X266Y071,0.8831688121930884,8.479046399999998,37.368656599999994,0.614
R00X268Y071,0.8384985482289218,8.5014512,37.7186898,0.444
R00X269Y071,0.05243399404035289,8.5126536,37.8937064,0.47
R00X271Y071,0.05067842666159384,8.535058399999999,38.2437396,0.5479999999999999
R00X272Y071,0.8440328040011451,8.546302599999999,38.4187562,0.5479999999999999
R00X274Y071,0.06640865767943711,8.5687074,38.7687894,0.503
R00X276Y071,0.3557590165543443,8.5911122,39.118822599999994,0.534
R00X279Y071,0.19839727069991503,8.6247194,39.6438724,0.45299999999999996
R00X280Y071,0.3802496908451971,8.6359218,39.818889,0.499
R00X297Y071,0.9432877931126893,8.8264462,42.7920394,0.46
R00X301Y071,0.8496899656821049,8.8712976,43.465103,0.41
R00X094Y072,0.8362153859260948,6.364217199999999,4.8572018,0.501
R00X100Y072,0.8224028619876377,6.431431599999999,6.027267399999999,0.47600000000000003
R00X103Y072,0.8558997547861691,6.465080599999999,6.5880562,0.364
R00X104Y072,0.8634483633344101,6.476283,6.774024399999999,0.444
R00X108Y072,0.8267640584161672,6.521092599999999,7.535536799999998,0.493
R00X110Y072,0.40452593314145885,6.543539199999999,7.948479,0.45299999999999996
R00X112Y072,0.20577056599891994,6.565944,8.361379399999999,0.47700000000000004
R00X116Y072,0.834307677476544,6.6107536,9.186176999999999,0.455
R00X121Y072,0.02532082831096154,6.6668074,10.172155399999998,0.473
R00X131Y072,0.9514268292609713,6.7788732,12.394744999999999,0.475
