,m/z,I,S/N,em,error,C,H,Class,dbe,,11062030927
12405,377.30626,3057303,19.4,377.3061188,0.00014124,24,41,O3,,,
12408,377.34238,7810463,53.4,377.3425043,0.000124269,25,45,O2,3,0.00070606,
12417,378.17069,1312095,6.9,378.1710818,0.000391837,23,24,O4N1,,,
12419,378.18635,1927267,11.3,378.186338,1.20E-05,27,24,O1N1,,,
12426,378.22275,5151851,34.1,378.2227235,2.65E-05,28,28,N1,,,
12428,378.24386,3379824,21.5,378.2438529,7.15E-06,25,32,O2N1,,,
12431,378.26499,1272053,6.6,378.2649822,7.78E-06,22,36,O4N1,,,
12433,378.28034,1409785,7.6,378.2802384,0.000101637,26,36,O1N1,,,
12456,379.24325,1507672,8.3,379.2431246,0.000125422,29,31,,,,
12461,379.2643,2733917,17,379.2642539,4.61E-05,26,35,O2,9,0.000247144,
12463,379.2851,1492066,8.2,379.2853833,0.000283316,23,39,O4,,,
12464,379.30049,1374693,7.3,379.3006395,0.000149456,27,39,O1,,,
12465,379.32167,2207082,13.2,379.3217688,9.88E-05,24,43,O3,,,
12468,379.35816,17563506,121.8,379.3581543,5.67E-06,25,47,O2,2,0.001587729,
12483,380.20194,2123575,12.6,380.201988,4.80E-05,27,26,O1N1,,,
12489,380.23847,4827712,31.8,380.2383735,9.65E-05,28,30,N1,,,
12491,380.25971,3664453,23.5,380.2595029,0.000207081,25,34,O2N1,,,
12493,380.28067,1677897,9.5,380.2806323,3.77E-05,22,38,O4N1,,,
12494,380.29599,1400909,7.5,380.2958884,0.000101573,26,38,O1N1,,,
12512,381.20732,1281057,6.7,381.207133,0.000187006,24,29,O4,,,
12520,381.24355,1181353,6,381.2435185,3.15E-05,25,33,O3,,,
12524,381.25917,1181613,6,381.2587746,0.000395358,29,33,,,,
12526,381.27973,2896306,18.1,381.279904,0.000174011,26,37,O2,8,0.000261824,
12528,381.30086,1998391,11.8,381.3010334,0.00017338,23,41,O4,,,
12532,381.33746,3548479,22.7,381.3374189,4.11E-05,24,45,O3,,,
12533,381.37388,105431368,743.3,381.3738044,7.56E-05,25,49,O2,1,0.009530923,
12552,382.2177,1877772,10.9,382.2176381,6.19E-05,27,28,O1N1,,,
12555,382.25403,5879317,39.2,382.2540236,6.39E-06,28,32,N1,,,
12557,382.27507,2268186,13.7,382.275153,8.30E-05,25,36,O2N1,,,
12560,382.29629,3867935,25,382.2962824,7.65E-06,22,40,O4N1,,,
12561,382.3113,1987618,11.7,382.3115385,0.000238492,26,40,O1N1,,,
12562,382.3327,1954343,11.4,382.3326679,3.21E-05,23,44,O3N1,,,
12590,383.25925,1864447,10.8,383.2591686,8.14E-05,25,35,O3,,,
12595,383.29544,3896071,25.2,383.2955541,0.000114076,26,39,O2,7,0.000352202,
12597,383.31669,5057804,33.4,383.3166834,6.56E-06,23,43,O4,,,
12600,383.35315,6005525,40.1,383.353069,8.10E-05,24,47,O3,,,
12619,384.17502,1198036,6.1,384.1757733,0.000753292,29,22,N1,,,
12621,384.19671,1737305,9.9,384.1969027,0.000192661,26,26,O2N1,,,
12625,384.23344,1831394,10.6,384.2332882,0.00015183,27,30,O1N1,,,
12628,384.26973,8967146,61,384.2696737,5.63E-05,28,34,N1,,,
12630,384.2906,3284975,20.9,384.290803,0.000203048,25,38,O2N1,,,
12657,385.21748,1482183,8.1,385.2173038,0.000176246,27,29,O2,13,0.000133988,
12668,385.27493,1995732,11.7,385.2748186,0.000111369,25,37,O3,,,
12673,385.3111,5978845,39.9,385.3112041,0.00010414,26,41,O2,6,0.000540483,
12674,385.33234,4264674,27.8,385.3323335,6.49E-06,23,45,O4,,,
12675,385.34763,4929766,32.5,385.3475896,4.04E-05,27,45,O1,,,
12686,386.17579,1205670,6.1,386.1761672,0.000377217,25,24,O3N1,,,
12688,386.19137,2074538,12.3,386.1914234,5.34E-05,29,24,N1,,,
12691,386.21263,1942703,11.4,386.2125527,7.73E-05,26,28,O2N1,,,
12696,386.2489,1604151,9,386.2489382,3.82E-05,27,32,O1N1,,,
12701,386.28547,3963328,25.6,386.2853237,0.000146257,28,36,N1,,,
12703,386.30658,1755845,10,386.3064531,0.000126888,25,40,O2N1,,,
12735,387.23286,2336924,14,387.2329538,9.38E-05,27,31,O2,12,0.000211256,
12745,387.29039,3117610,19.5,387.2904687,7.87E-05,25,39,O3,,,
12749,387.32693,10186418,69,387.3268542,7.58E-05,26,43,O2,5,0.000920845,
12750,387.36333,13631163,93.2,387.3632397,9.03E-05,27,47,O1,,,
12759,388.17094,2483063,15,388.1706879,0.000252088,28,22,O1N1,,,
12766,388.20726,2093695,12.3,388.2070734,0.000186579,29,26,N1,,,
12767,388.22834,2690948,16.5,388.2282028,0.00013721,26,30,O2N1,,,
12771,388.24925,1366025,7.2,388.2493322,8.22E-05,23,34,O4N1,,,
12773,388.26448,1462668,7.9,388.2645883,0.000108299,27,34,O1N1,,,
12776,388.30101,5039509,32.9,388.3009738,3.62E-05,28,38,N1,,,
12808,389.24862,2307953,13.8,389.2486039,1.61E-05,27,33,O2,11,0.000208637,
12810,389.26962,1348982,7.1,389.2697333,0.000113251,24,37,O4,,,
12814,389.28501,1218554,6.2,389.2849894,2.06E-05,28,37,O1,,,
12817,389.3061,2594559,15.8,389.3061188,1.88E-05,25,41,O3,,,
12820,389.34247,6062727,40.1,389.3425043,3.43E-05,26,45,O2,4,0.000548066,
12843,390.18642,1650763,9.2,390.186338,8.20E-05,28,24,O1N1,,,
12850,390.22269,3114836,19.5,390.2227235,3.35E-05,29,28,N1,,,
12853,390.24373,2021848,11.8,390.2438529,0.000122854,26,32,O2N1,,,
12857,390.28032,1374561,7.3,390.2802384,8.16E-05,27,36,O1N1,,,
12861,390.31672,10873193,73.8,390.3166239,9.61E-05,28,40,N1,,,
12872,391.0968,1948446,11.3,391.0975825,0.000782543,26,15,O4,,,
12880,391.22787,1328573,6.9,391.2278684,1.56E-06,26,31,O3,,,
12886,391.2644,2174789,12.9,391.2642539,0.000146053,27,35,O2,10,0.000196599,
12889,391.28518,1453898,7.8,391.2853833,0.000203316,24,39,O4,,,
12893,391.30082,1232974,6.3,391.3006395,0.000180544,28,39,O1,,,
12897,391.32146,3205714,20.1,391.3217688,0.000308824,25,43,O3,,,
12899,391.35819,8631899,58.1,391.3581543,3.57E-05,26,47,O2,3,0.000780318,
12912,392.20205,1391646,7.4,392.201988,6.20E-05,28,26,O1N1,,,
12917,392.23831,4247847,27.4,392.2383735,6.35E-05,29,30,N1,,,
12919,392.25947,3637804,23.1,392.2595029,3.29E-05,26,34,O2N1,,,
12921,392.28063,1208497,6.1,392.2806323,2.29E-06,23,38,O4N1,,,
12939,393.18592,1204994,6.1,393.1860036,8.36E-05,28,25,O2,16,0.000108931,
12949,393.25888,1500435,8.1,393.2587746,0.000105357,30,33,,,,
12952,393.27993,2905112,18,393.279904,2.60E-05,27,37,O2,9,0.00026262,
12956,393.31668,1402912,7.5,393.3162895,0.00039048,28,41,O1,,,
12957,393.33774,1313317,6.8,393.3374189,0.000321111,25,45,O3,,,
12958,393.3739,16972846,116.6,393.3738044,9.56E-05,26,49,O2,2,0.001534334,
12968,394.18138,1538280,8.4,394.1812526,0.000127403,27,24,O2N1,,,
12972,394.21768,2205168,13.1,394.2176381,4.19E-05,28,28,O1N1,,,
12979,394.25402,3742456,23.8,394.2540236,3.61E-06,29,32,N1,,,
12982,394.27514,3894525,24.9,394.275153,1.30E-05,26,36,O2N1,,,
12986,394.2961,2316290,13.9,394.2962824,0.000182352,23,40,O4N1,,,
12988,394.31145,1270918,6.5,394.3115385,8.85E-05,27,40,O1N1,,,
13007,395.23847,1633755,9,395.2380392,0.000430802,29,31,O1,,,
13011,395.25874,1379040,7.2,395.2591686,0.000428567,26,35,O3,,,
13015,395.27486,2179811,12.8,395.2744247,0.000435293,30,35,,,,
13019,395.29557,3046888,18.8,395.2955541,1.59E-05,27,39,O2,8,0.000275437,
13021,395.31654,1876205,10.7,395.3166834,0.000143445,24,43,O4,,,
13023,395.35315,3172853,19.7,395.353069,8.10E-05,25,47,O3,,,
13024,395.38954,90713600,628.4,395.3894545,8.55E-05,26,51,O2,1,0.008200447,
13031,396.19698,1640247,9,396.1969027,7.73E-05,27,26,O2N1,,,
13034,396.21802,24043196,164.8,396.218032,1.20E-05,24,30,O4N1,,,
13036,396.23326,1925824,11,396.2332882,2.82E-05,28,30,O1N1,,,
13041,396.26972,5331144,34.7,396.2696737,4.63E-05,29,34,N1,,,
13042,396.29074,1740749,9.7,396.290803,6.30E-05,26,38,O2N1,,,
13044,396.31201,6516434,42.9,396.3119324,7.76E-05,23,42,O4N1,,,
13045,396.32739,1975765,11.4,396.3271886,0.000201444,27,42,O1N1,,,
13046,396.34844,1956570,11.2,396.3483179,0.000122075,24,46,O3N1,,,
13074,397.25297,1511337,8.1,397.2536893,0.000719262,29,33,O1,,,
13080,397.27484,1260462,6.4,397.2748186,2.14E-05,26,37,O3,,,
13083,397.29027,1481778,7.9,397.2900748,0.000195229,30,37,,,,
13089,397.31125,3423927,21.4,397.3112041,4.59E-05,27,41,O2,7,0.000309521,
13095,397.33238,6335420,41.7,397.3323335,4.65E-05,24,45,O4,,,
13098,397.34754,1953727,11.2,397.3475896,4.96E-05,28,45,O1,,,
13102,397.3688,2293956,13.6,397.368719,8.10E-05,25,49,O3,,,
13134,398.1915,1501824,8.1,398.1914234,7.66E-05,30,24,N1,,,
13137,398.21251,1595141,8.7,398.2125527,4.27E-05,27,28,O2N1,,,
13142,398.24906,1776013,10,398.2489382,0.000121766,28,32,O1N1,,,
13146,398.28541,8832149,59,398.2853237,8.63E-05,29,36,N1,,,
13147,398.30654,3232922,20.1,398.3064531,8.69E-05,26,40,O2N1,,,
13168,399.26961,1415285,7.5,399.2693393,0.000270673,29,35,O1,,,
13172,399.29065,2164730,12.7,399.2904687,0.000181304,26,39,O3,,,
13178,399.32692,5856131,38.4,399.3268542,6.58E-05,27,43,O2,6,0.00052939,
13179,399.34803,4338567,27.8,399.3479836,4.64E-05,24,47,O4,,,
13180,399.36327,3614603,22.8,399.3632397,3.03E-05,28,47,O1,,,
13199,400.20694,1575882,8.6,400.2070734,0.000133421,30,26,N1,,,
13200,400.22823,1864783,10.6,400.2282028,2.72E-05,27,30,O2N1,,,
13207,400.28573,1674076,9.3,400.2857177,1.23E-05,25,38,O3N1,,,
13208,400.30097,2826464,17.3,400.3009738,3.81E-06,29,38,N1,,,
13210,400.32209,1506916,8.1,400.3221032,1.32E-05,26,42,O2N1,,,
13242,401.30619,3551555,22.3,401.3061188,7.12E-05,26,41,O3,,,
13246,401.3425,10379083,69.8,401.3425043,4.27E-06,27,45,O2,5,0.000938262,
13247,401.37894,10917716,73.5,401.3788898,5.02E-05,28,49,O1,,,
13255,402.18637,2290186,13.6,402.186338,3.20E-05,29,24,O1N1,,,
13258,402.2228,1815954,10.3,402.2227235,7.65E-05,30,28,N1,,,
13260,402.24396,20818966,142.4,402.2438529,0.000107146,27,32,O2N1,,,
13264,402.28023,1655071,9.1,402.2802384,8.36E-06,28,36,O1N1,,,
13267,402.31662,4597800,29.6,402.3166239,3.87E-06,29,40,N1,,,
13293,403.26423,1886973,10.7,403.2642539,2.39E-05,28,35,O2,11,0.000170581,
13296,403.28558,2657538,16.1,403.2853833,0.000196684,25,39,O4,,,
13301,403.32159,2752522,16.8,403.3217688,0.000178824,26,43,O3,,,
13304,403.35812,6359826,41.8,403.3581543,3.43E-05,27,47,O2,4,0.000574924,
13316,404.20162,1688271,9.3,404.201988,0.000368041,29,26,O1N1,,,
13320,404.23845,3130328,19.2,404.2383735,7.65E-05,30,30,N1,,,
13322,404.25967,2687452,16.2,404.2595029,0.000167081,27,34,O2N1,,,
13324,404.28027,1213793,6,404.2806323,0.000362287,24,38,O4N1,,,
13327,404.29589,1437924,7.6,404.2958884,1.57E-06,28,38,O1N1,,,
13332,404.33231,11502060,77,404.3322739,3.61E-05,29,42,N1,,,
13358,405.27998,3481793,21.7,405.279904,7.60E-05,28,37,O2,10,0.000314752,
13361,405.30118,1713861,9.5,405.3010334,0.00014662,25,41,O4,,,
13365,405.31625,1238729,6.2,405.3162895,3.95E-05,29,41,O1,,,
13368,405.33758,3235534,20,405.3374189,0.000161111,26,45,O3,,,
13371,405.37384,5794006,37.6,405.3738044,3.56E-05,27,49,O2,3,0.000523774,
13380,406.21776,1553042,8.4,406.2176381,0.000121895,29,28,O1N1,,,
13383,406.23868,1389719,7.2,406.2387675,8.75E-05,26,32,O3N1,,,
13385,406.25411,3391130,21,406.2540236,8.64E-05,30,32,N1,,,
13388,406.27523,4275615,27.1,406.275153,7.70E-05,27,36,O2N1,,,
13392,406.29593,1496483,8,406.2962824,0.000352352,24,40,O4N1,,,
13421,407.25921,1290362,6.5,407.2591686,4.14E-05,27,35,O3,,,
13424,407.2747,1568381,8.5,407.2744247,0.000275293,31,35,,,,
13428,407.29572,3030146,18.5,407.2955541,0.000165924,28,39,O2,9,0.000273923,
13430,407.31656,1368327,7.1,407.3166834,0.000123445,25,43,O4,,,
13431,407.33215,1738634,9.6,407.3319396,0.000210416,29,43,O1,,,
13433,407.35306,1998735,11.4,407.353069,8.95E-06,26,47,O3,,,
13434,407.38946,14122135,95,407.3894545,5.54E-06,27,51,O2,2,0.001276631,
13449,408.23323,1866834,10.5,408.2332882,5.82E-05,29,30,O1N1,,,
13453,408.26981,3669850,22.9,408.2696737,0.000136321,30,34,N1,,,
13455,408.29083,5841247,37.9,408.290803,2.70E-05,27,38,O2N1,,,
13457,408.31205,2712420,16.3,408.3119324,0.000117584,24,42,O4N1,,,
13458,408.32709,1610855,8.7,408.3271886,9.86E-05,28,42,O1N1,,,
13485,409.31124,4725313,30.2,409.3112041,3.59E-05,28,41,O2,8,0.000427165,
13488,409.33225,2585414,15.5,409.3323335,8.35E-05,25,45,O4,,,
13491,409.36895,2321742,13.6,409.368719,0.000230982,26,49,O3,,,
13493,409.40514,59996756,411.4,409.4051045,3.55E-05,27,53,O2,1,0.005423666,
13501,410.21241,1441672,7.6,410.2125527,0.000142725,28,28,O2N1,,,
13506,410.24887,1216144,6,410.2489382,6.82E-05,29,32,O1N1,,,
13509,410.28543,3836184,24.1,410.2853237,0.000106257,30,36,N1,,,
13512,410.32764,8473377,56.1,410.3275825,5.75E-05,24,44,O4N1,,,
13518,410.37937,1415213,7.4,410.3792241,0.000145871,29,48,N1,,,
13540,411.29056,1705717,9.4,411.2904687,9.13E-05,27,39,O3,,,
13545,411.32692,4688894,30,411.3268542,6.58E-05,28,43,O2,7,0.000423873,
13547,411.34793,5633026,36.5,411.3479836,5.36E-05,25,47,O4,,,
13548,411.36346,1690374,9.3,411.3632397,0.000220287,29,47,O1,,,
13549,411.38438,3368970,20.9,411.3843691,1.09E-05,26,51,O3,,,
13562,412.20721,1246655,6.2,412.2070734,0.000136579,31,26,N1,,,
13564,412.2284,1919812,10.9,412.2282028,0.00019721,28,30,O2N1,,,
13570,412.30094,7520468,49.5,412.3009738,3.38E-05,30,38,N1,,,
13572,412.32223,3526872,22,412.3221032,0.000126824,27,42,O2N1,,,
13597,413.24888,1474979,7.8,413.2486039,0.000276117,29,33,O2,13,0.000133337,
13605,413.30605,2284720,13.4,413.3061188,6.88E-05,27,41,O3,,,
13609,413.34257,8661432,57.4,413.3425043,6.57E-05,28,45,O2,6,0.000782988,
13610,413.36375,5505980,35.6,413.3636336,0.000116362,25,49,O4,,,
13611,413.37899,2898368,17.6,413.3788898,0.000100222,29,49,O1,,,
13624,414.22283,1762424,9.7,414.2227235,0.000106515,31,28,N1,,,
13625,414.24403,1927037,10.8,414.2438529,0.000177146,28,32,O2N1,,,
13628,414.26491,1248385,6.2,414.2649822,7.22E-05,25,36,O4N1,,,
13634,414.31673,2399117,14.1,414.3166239,0.000106128,30,40,N1,,,
13636,414.33818,1376529,7.1,414.3377532,0.000426759,27,44,O2N1,,,
13656,415.26431,3384667,20.8,415.2642539,5.61E-05,29,35,O2,12,0.000305972,
13664,415.32177,3403112,20.9,415.3217688,1.18E-06,27,43,O3,,,
13667,415.35819,28487536,192.5,415.3581543,3.57E-05,28,47,O2,5,0.002575254,
13668,415.39455,6188408,40,415.3945398,1.02E-05,29,51,O1,,,
13678,416.20222,1480743,7.8,416.201988,0.000231959,30,26,O1N1,,,
13684,416.23823,2038319,11.6,416.2383735,0.00014355,31,30,N1,,,
13685,416.25942,2673460,15.9,416.2595029,8.29E-05,28,34,O2N1,,,
13692,416.33218,4335172,27.3,416.3322739,9.39E-05,30,42,N1,,,
13709,417.27991,1585681,8.5,417.279904,5.99E-06,29,37,O2,11,0.000143344,
13713,417.30115,1405718,7.3,417.3010334,0.00011662,26,41,O4,,,
13719,417.33752,4461342,28.2,417.3374189,0.000101111,27,45,O3,,,
13723,417.37383,4937510,31.4,417.3738044,2.56E-05,28,49,O2,4,0.000446348,
13733,418.21781,1472732,7.7,418.2176381,0.000171895,30,28,O1N1,,,
13737,418.25416,2497252,14.7,418.2540236,0.000136386,31,32,N1,,,
13738,418.27513,2558440,15.1,418.275153,2.30E-05,28,36,O2N1,,,
13743,418.3111,1308656,6.6,418.3115385,0.000438492,29,40,O1N1,,,
13748,418.34797,8802808,57.8,418.347924,4.60E-05,30,44,N1,,,
13758,419.12816,1866465,10.4,419.1288827,0.000722672,28,19,O4,,,
13771,419.2957,3876549,24.2,419.2955541,0.000145924,29,39,O2,10,0.000350437,
13774,419.3164,1782985,9.8,419.3166834,0.000283445,26,43,O4,,,
13783,419.35303,3755985,23.3,419.353069,3.90E-05,27,47,O3,,,
13786,419.38944,6195929,40,419.3894545,1.45E-05,28,51,O2,3,0.000560108,
13799,420.23383,1247631,6.2,420.2332882,0.00054183,30,30,O1N1,,,
13804,420.26985,3616151,22.4,420.2696737,0.000176321,31,34,N1,,,
13807,420.29081,4076955,25.5,420.290803,6.95E-06,28,38,O2N1,,,
13811,420.31225,1828768,10.1,420.3119324,0.000317584,25,42,O4N1,,,
13813,420.32745,1359267,6.9,420.3271886,0.000261444,29,42,O1N1,,,
13840,421.28979,1223026,6,421.2900748,0.000284771,32,37,,,,
13844,421.31117,2906742,17.5,421.3112041,3.41E-05,29,41,O2,9,0.000262767,
13847,421.33241,1380219,7.1,421.3323335,7.65E-05,26,45,O4,,,
13848,421.34749,1430654,7.4,421.3475896,9.96E-05,30,45,O1,,,
13850,421.40515,14181514,94.6,421.4051045,4.55E-05,28,53,O2,2,0.001281999,
13859,422.21264,1400632,7.2,422.2125527,8.73E-05,29,28,O2N1,,,
13870,422.28541,3340103,20.5,422.2853237,8.63E-05,31,36,N1,,,
13873,422.30639,6458700,41.8,422.3064531,6.31E-05,28,40,O2N1,,,
13876,422.32762,6960464,45.2,422.3275825,3.75E-05,25,44,O4N1,,,
13896,423.26929,1287450,6.4,423.2693393,4.93E-05,31,35,O1,,,
13904,423.32694,5177894,33,423.3268542,8.58E-05,29,43,O2,8,0.000468078,
13906,423.34795,3635755,22.5,423.3479836,3.36E-05,26,47,O4,,,
13907,423.38443,2434098,14.2,423.3843691,6.09E-05,27,51,O3,,,
13908,423.42081,53569080,360.8,423.4207546,5.54E-05,28,55,O2,1,0.004842608,
13921,424.22794,1269222,6.3,424.2282028,0.00026279,29,30,O2N1,,,
13929,424.30093,4630774,29,424.3009738,4.38E-05,31,38,N1,,,
13931,424.32232,2167035,12.3,424.3221032,0.000216824,28,42,O2N1,,,
13935,424.34332,20260606,135,424.3432325,8.75E-05,25,46,O4N1,,,
13938,424.35855,2000642,11.2,424.3584887,6.13E-05,29,46,O1N1,,,
13959,425.28533,1307208,6.5,425.2849894,0.000340609,31,37,O1,,,
13966,425.34247,4802516,30.2,425.3425043,3.43E-05,29,45,O2,7,0.000434144,
13968,425.36366,8266712,53.7,425.3636336,2.64E-05,26,49,O4,,,
13969,425.37893,1416283,7.3,425.3788898,4.02E-05,30,49,O1,,,
13979,426.22244,1608335,8.6,426.2227235,0.000283485,32,28,N1,,,
13981,426.24391,1954707,10.9,426.2438529,5.71E-05,29,32,O2N1,,,
13987,426.30102,1403295,7.2,426.3013677,0.000347732,27,40,O3N1,,,
13988,426.31669,7766179,50.3,426.3166239,6.61E-05,31,40,N1,,,
13989,426.33782,3164071,19.1,426.3377532,6.68E-05,28,44,O2N1,,,
14015,427.28543,1698928,9.2,427.2853833,4.67E-05,27,39,O4,,,
14027,427.35819,7826816,50.7,427.3581543,3.57E-05,29,47,O2,6,0.000707539,
14029,427.37925,5558660,35.3,427.3792837,3.37E-05,26,51,O4,,,
14030,427.39471,1902087,10.5,427.3945398,0.000170158,30,51,O1,,,
14041,428.23845,1462714,7.6,428.2383735,7.65E-05,32,30,N1,,,
14042,428.25965,2345534,13.5,428.2595029,0.000147081,29,34,O2N1,,,
14044,428.28054,1709891,9.2,428.2806323,9.23E-05,26,38,O4N1,,,
14052,428.33223,3402318,20.7,428.3322739,4.39E-05,31,42,N1,,,
14055,428.35364,2027090,11.4,428.3534033,0.000236695,28,46,O2N1,,,
14076,429.27963,1998870,11.2,429.279904,0.000274011,30,37,O2,12,0.000180696,
14079,429.30109,1352730,6.8,429.3010334,5.66E-05,27,41,O4,,,
14083,429.33737,3506978,21.4,429.3374189,4.89E-05,28,45,O3,,,
14086,429.37383,48429864,325.9,429.3738044,2.56E-05,29,49,O2,5,0.004378026,
14087,429.4102,6417202,41.1,429.4101899,1.01E-05,30,53,O1,,,
14101,430.254,2397155,13.9,430.2540236,2.36E-05,32,32,N1,,,
14102,430.27523,2458344,14.3,430.275153,7.70E-05,29,36,O2N1,,,
14105,430.29615,2008044,11.3,430.2962824,0.000132352,26,40,O4N1,,,
14115,430.34794,4287479,26.7,430.347924,1.60E-05,31,44,N1,,,
14140,431.29555,1306238,6.5,431.2955541,4.08E-06,30,39,O2,11,0.000118083,
14143,431.31672,1795267,9.8,431.3166834,3.66E-05,27,43,O4,,,
14147,431.35316,5320395,33.7,431.353069,9.10E-05,28,47,O3,,,
14151,431.3895,3851986,23.8,431.3894545,4.55E-05,29,51,O2,4,0.000348217,
14163,432.25462,1377416,7,432.2544175,0.000202461,28,34,O3N1,,,
14165,432.26974,2421643,14.1,432.2696737,6.63E-05,32,34,N1,,,
14167,432.29103,2320911,13.4,432.290803,0.000226952,29,38,O2N1,,,
14169,432.31209,1689876,9.1,432.3119324,0.000157584,26,42,O4N1,,,
14175,432.36368,9138590,59.6,432.3635741,0.000105935,31,46,N1,,,
14198,433.31105,3198053,19.3,433.3112041,0.00015414,30,41,O2,10,0.000289102,
14201,433.33246,2463850,14.3,433.3323335,0.000126491,27,45,O4,,,
14206,433.3686,5390449,34.2,433.368719,0.000119018,28,49,O3,,,
14208,433.40516,5395065,34.2,433.4051045,5.55E-05,29,53,O2,3,0.00048771,
14222,434.28515,3356977,20.2,434.2853237,0.000173743,32,36,N1,,,
14225,434.30635,4305205,26.6,434.3064531,0.000103112,29,40,O2N1,,,
14227,434.3275,1667386,8.9,434.3275825,8.25E-05,26,44,O4N1,,,
14230,434.3639,1484097,7.6,434.363968,6.80E-05,27,48,O3N1,,,
14255,435.32697,2906634,17.2,435.3268542,0.000115795,30,43,O2,9,0.000262758,
14258,435.348,1670159,8.9,435.3479836,1.64E-05,27,47,O4,,,
14259,435.38442,1747222,9.4,435.3843691,5.09E-05,28,51,O3,,,
14260,435.42081,12671006,82.8,435.4207546,5.54E-05,29,55,O2,2,0.00114545,
14268,436.26463,1690318,9,436.2645883,4.17E-05,31,34,O1N1,,,
14272,436.28566,1365074,6.8,436.2857177,5.77E-05,28,38,O3N1,,,
14274,436.3009,2885077,17,436.3009738,7.38E-05,32,38,N1,,,
14276,436.32212,7671514,49.2,436.3221032,1.68E-05,29,42,O2N1,,,
14278,436.34324,6361822,40.4,436.3432325,7.45E-06,26,46,O4N1,,,
14294,437.30603,2018982,11.2,437.3061188,8.88E-05,29,41,O3,,,
14299,437.34253,6238126,39.6,437.3425043,2.57E-05,30,45,O2,8,0.000563922,
14302,437.36369,3255730,19.5,437.3636336,5.64E-05,27,49,O4,,,
14303,437.39991,2254522,12.8,437.4000191,0.000109146,28,53,O3,,,
14304,437.43642,40505792,269.7,437.4364047,1.53E-05,29,57,O2,1,0.003661696,
14319,438.28041,1245425,6,438.2802384,0.000171637,31,36,O1N1,,,
14323,438.31657,4200568,25.9,438.3166239,5.39E-05,32,40,N1,,,
14326,438.33762,1647997,8.7,438.3377532,0.000133241,29,44,O2N1,,,
14330,438.35898,16081537,105.7,438.3588826,9.74E-05,26,48,O4N1,,,
14332,438.37396,1701764,9.1,438.3741387,0.000178749,30,48,O1N1,,,
14342,439.26437,1821245,9.9,439.2642539,0.000116053,31,35,O2,14,0.000164639,
14345,439.28515,2366657,13.6,439.2853833,0.000233316,28,39,O4,,,
14357,439.35814,7576400,48.5,439.3581543,1.43E-05,30,47,O2,7,0.000684901,
14359,439.37932,7289685,46.6,439.3792837,3.63E-05,27,51,O4,,,
14360,439.39482,1715800,9.2,439.3945398,0.000280158,31,51,O1,,,
14373,440.23901,1311751,6.5,440.2383735,0.00063645,33,30,N1,,,
14375,440.25938,2014987,11.2,440.2595029,0.000122919,30,34,O2N1,,,
14384,440.33239,7152666,45.7,440.3322739,0.000116064,32,42,N1,,,
14387,440.35351,3506718,21.2,440.3534033,0.000106695,29,46,O2N1,,,
14409,441.30082,1833442,10,441.3010334,0.00021338,28,41,O4,,,
14414,441.33759,2176746,12.3,441.3374189,0.000171111,29,45,O3,,,
14418,441.37384,23893232,158.1,441.3738044,3.56E-05,30,49,O2,6,0.002159932,
14419,441.39499,6573302,41.8,441.3949338,5.62E-05,27,53,O4,,,
14420,441.41018,2022393,11.2,441.4101899,9.91E-06,31,53,O1,,,
14430,442.21784,1500319,7.7,442.2176381,0.000201895,32,28,O1N1,,,
14435,442.27516,2070187,11.6,442.275153,7.02E-06,30,36,O2N1,,,
14444,442.348,1750714,9.4,442.347924,7.60E-05,32,44,N1,,,
14446,442.3691,1647550,8.7,442.3690534,4.66E-05,29,48,O2N1,,,
14474,443.35309,3532169,21.4,443.353069,2.10E-05,29,47,O3,,,
14479,443.38948,58865296,393,443.3894545,2.55E-05,30,51,O2,5,0.005321382,
14480,443.42585,5206168,32.6,443.42584,1.00E-05,31,55,O1,,,
14493,444.26981,2013766,11.2,444.2696737,0.000136321,33,34,N1,,,
14495,444.29073,3570506,21.6,444.290803,7.30E-05,30,38,O2N1,,,
14497,444.31132,1359438,6.8,444.3119324,0.000612416,27,42,O4N1,,,
14503,444.36364,3503449,21.2,444.3635741,6.59E-05,32,46,N1,,,
14525,445.33228,1734432,9.2,445.3323335,5.35E-05,28,45,O4,,,
14531,445.36884,4311592,26.4,445.368719,0.000120982,29,49,O3,,,
14535,445.40519,4409135,27,445.4051045,8.55E-05,30,53,O2,4,0.000398583,
14550,446.28547,1800931,9.7,446.2853237,0.000146257,33,36,N1,,,
14552,446.30621,2679016,15.5,446.3064531,0.000243112,30,40,O2N1,,,
14554,446.328,1634540,8.5,446.3275825,0.000417519,27,44,O4N1,,,
14559,446.37927,7575799,48.1,446.3792241,4.59E-05,32,48,N1,,,
14578,447.32703,2208441,12.4,447.3268542,0.000175795,31,43,O2,10,0.000199642,
14581,447.34828,1618877,8.4,447.3479836,0.000296427,28,47,O4,,,
14584,447.38427,5179333,32.1,447.3843691,9.91E-05,29,51,O3,,,
14587,447.42082,4967884,30.7,447.4207546,6.54E-05,30,55,O2,3,0.000449093,
14600,448.32215,4746884,29.2,448.3221032,4.68E-05,30,42,O2N1,,,
14602,448.34333,2786697,16.2,448.3432325,9.75E-05,27,46,O4N1,,,
14626,449.34253,1716821,9.1,449.3425043,2.57E-05,31,45,O2,9,0.000155199,
14629,449.36297,1514841,7.7,449.3636336,0.000663638,28,49,O4,,,
