,m/z,I,S/N,em,error,C,H,Class
248,258.12881,237719776,1850.6,258.1288230991,1.3099099987812224e-05,19,16,N1
249,259.09755,3043402,21.3,259.0975825429,3.254289998722015e-05,15,15,O4
250,259.11283,14369359,109.5,259.11283868289996,8.682899988343706e-06,19,15,O1
253,259.13396,5988951,44.2,259.1339680517,8.051699978750548e-06,16,19,O3
255,259.19142999999997,7649901,57.2,259.1914829293,5.292930001132845e-05,14,27,O4
256,260.07169,6789040,50.5,260.0717021459,1.2145900029736367e-05,17,10,O2N1
260,261.09195,2665631,18.2,261.0921032385,0.00015323849999049344,18,13,O2
262,261.11325,3069734,21.4,261.1132326073,1.7392699987794913e-05,15,17,O4
265,261.14955,5238835,38.2,261.1496181161,6.811610001022927e-05,16,21,O3
266,262.08732000000003,3566717,25.2,262.0873522103,3.221029999167513e-05,17,12,O2N1
267,262.1237,3994249,28.5,262.1237377191,3.771910002114964e-05,18,16,O1N1
269,262.1601,8694422,65.0,262.1601232279,2.3227899987432465e-05,19,20,N1
271,263.14409,4023272,28.8,263.1441388117,4.881169996906465e-05,19,19,O1
274,264.10295,3778602,26.9,264.1030022747,5.227469995361389e-05,17,14,O2N1
276,264.17577,17499458,133.3,264.1757732923,3.2922999935180997e-06,19,22,N1
277,265.08693999999997,5132141,37.2,265.0870178585,7.785850004893291e-05,17,13,O3
278,265.12338,5068921,36.7,265.1234033673,2.3367300002519187e-05,18,17,O2
280,265.15977000000004,4347781,31.1,265.1597888761,1.8876099943554436e-05,19,21,O1
282,265.18082999999996,2976779,20.5,265.1809182449,8.824490004144536e-05,16,25,O3
284,266.09743,195222448,1505.1,266.0975229703,9.297030004518092e-05,20,12,N1
285,266.11865,3728568,26.3,266.1186523391,2.3390999785988242e-06,17,16,O2N1
288,267.0815,2907462,20.0,267.0815385541,3.855410000142001e-05,20,11,O1
291,267.10267000000005,11509997,86.4,267.10266792289997,2.077100077713112e-06,17,15,O3
292,267.13903999999997,3855096,27.3,267.1390534317,1.3431700040200667e-05,18,19,O2
293,267.19658,26768650,204.3,267.1965683093,1.1690699977862096e-05,16,27,O3
294,267.23287,136379664,1050.7,267.2329538181,8.381809999491452e-05,17,31,O2
297,268.11317,17394210,131.9,268.11317303469997,3.0346999437824707e-06,20,14,N1
298,268.13432,6472745,47.5,268.1343024035,1.759650001531554e-05,17,18,O2N1
303,269.0819,3819077,26.9,269.0819324785,3.2478499974786246e-05,16,13,O4
304,269.09718,4983626,35.8,269.0971886185,8.618500032753218e-06,20,13,O1
307,269.11836,12163920,91.0,269.1183179873,4.201270002113233e-05,17,17,O3
308,269.15457000000004,4083291,28.9,269.1547034961,0.00013349609997703737,18,21,O2
309,269.21218,99729256,764.0,269.2122183737,3.8373700022020785e-05,16,29,O3
310,269.24856,183000944,1403.9,269.2486038825,4.388249999465188e-05,17,33,O2
311,270.09243,5455469,39.5,270.0924375903,7.590300015181128e-06,19,12,O1N1
312,270.1288,41279608,314.8,270.1288230991,2.309909996256465e-05,20,16,N1
316,271.11287999999996,5675921,41.2,271.11283868289996,4.131709999910527e-05,20,15,O1
320,271.22787,11034034,82.3,271.2278684381,1.5618999782418541e-06,16,31,O3
322,272.10806,15415975,116.0,272.10808765469994,2.765469992027647e-05,19,14,O1N1
323,272.14451,117498544,900.5,272.1444731635,3.683650004404626e-05,20,18,N1
324,273.09206,5725620,41.3,273.0921032385,4.3238499983999645e-05,19,13,O2
326,273.1285,9079230,67.0,273.12848874729997,1.125270000557066e-05,20,17,O1
329,273.14957999999996,4635588,33.0,273.1496181161,3.8116100029128575e-05,17,21,O3
331,274.08738999999997,6046398,43.8,274.08735221029997,3.778970000212212e-05,18,12,O2N1
334,275.10767999999996,2845640,19.3,275.1077533029,7.330290003437767e-05,19,15,O2
336,275.12879,3080398,21.1,275.1288826717,9.267170003113279e-05,16,19,O4
337,275.14417000000003,7342034,53.7,275.1441388117,3.1188300056328444e-05,20,19,O1
339,275.16531000000003,3338711,23.1,275.1652681805,4.181950004067403e-05,17,23,O3
340,275.20162999999997,19193312,144.3,275.2016536893,2.3689300007845304e-05,18,27,O2
341,276.10306,9824966,72.7,276.1030022747,5.77253000528799e-05,18,14,O2N1
342,276.13937000000004,2813135,19.1,276.13938778349996,1.778349991354844e-05,19,18,O1N1
344,276.16051,2695125,18.2,276.1605171523,7.152299986046273e-06,16,22,O3N1
345,276.17576,6888665,50.2,276.1757732923,1.3292299968270527e-05,20,22,N1
348,277.08698,6161852,44.7,277.0870178585,3.7858500036236364e-05,18,13,O3
349,277.14448,3768010,26.4,277.1445327361,5.273610003087015e-05,16,21,O4
350,277.15972999999997,2859725,19.4,277.1597888761,5.88761000130944e-05,20,21,O1
352,277.21724,45701084,345.2,277.2173037537,6.375369997613234e-05,18,29,O2
