,m/z,I,S/N,em,error,C,H,Class
5150,245.15482000000003,18622992,148.4,245.1547034961,0.00011650390001705091,16,21,O2
5152,245.19117000000003,2156831,15.0,245.1910890049,8.09951000348974e-05,17,25,O1
5186,246.05617999999998,1607948,10.5,246.0560520815,0.00012791849997029203,16,8,O2N1
5188,246.09252,1268891,7.8,246.09243759030002,8.240969998496439e-05,17,12,O1N1
5194,246.15007000000003,1125427,6.6,246.14995246790002,0.00011753210000620129,15,20,O2N1
5226,247.09762,1605824,10.5,247.0975825429,3.745710000657709e-05,14,15,O4
5228,247.11295,1496902,9.6,247.1128386829,0.00011131710002132422,18,15,O1
5231,247.13401000000002,3547471,26.1,247.13396805169998,4.1948300037120134e-05,15,19,O3
5235,247.17047000000002,24029534,191.4,247.17035356050002,0.000116439500004617,16,23,O2
5241,247.20682999999997,2250509,15.7,247.2067390693,9.093069996879422e-05,17,27,O1
5280,248.10812,4726755,35.6,248.1080876547,3.234530001350322e-05,17,14,O1N1
5282,248.14451,4602354,34.6,248.1444731635,3.683649998720284e-05,18,18,N1
5317,249.09222000000003,9925239,77.6,249.09210323850002,0.00011676150000994312,17,13,O2
5318,249.11324,1362688,8.5,249.1132326073,7.392699984620776e-06,14,17,O4
5320,249.12852,1540998,9.9,249.1284887473,3.125270001191893e-05,18,17,O1
5323,249.14968,4939151,37.3,249.1496181161,6.188390000261279e-05,15,21,O3
5326,249.18613,19114142,151.7,249.1860036249,0.00012637509999535723,16,25,O2
5364,250.08733999999998,1834252,12.2,250.08735221030003,1.2210300042170275e-05,16,12,O2N1
5369,250.12384,8840731,68.5,250.1237377191,0.00010228089999486656,17,16,O1N1
5370,250.14492,3212580,23.3,250.1448670879,5.2912100017010744e-05,14,20,O3N1
5371,250.16024,18256426,144.2,250.16012322790002,0.00011677209997174032,18,20,N1
5398,251.07108,1323672,8.1,251.0713677941,0.00028779410001789074,16,11,O3
5402,251.10789,6480807,49.6,251.1077533029,0.00013669710000385749,17,15,O2
5406,251.12887999999998,1523248,9.7,251.1288826717,2.6717000309872674e-06,14,19,O4
5407,251.14417999999998,2389046,16.7,251.1441388117,4.118829997423745e-05,18,19,O1
5411,251.1653,3384510,24.7,251.1652681805,3.181950000907818e-05,15,23,O3
5414,251.20176,68378576,546.9,251.2016536893,0.00010631070000499676,16,27,O2
5438,252.10312000000002,4350003,32.4,252.1030022747,0.0001177253000150813,16,14,O2N1
5440,252.13945,1082690,6.2,252.1393877835,6.221649999815781e-05,17,18,O1N1
5441,252.17592000000002,1313488,8.0,252.17577329230002,0.00014670769999725053,18,22,N1
5497,253.08712000000003,5991094,45.6,253.08701785850002,0.00010214150000820155,16,13,O3
5501,253.12352,12004036,93.9,253.1234033673,0.00011663270001349701,17,17,O2
5507,253.14456,3707852,27.3,253.14453273610002,2.7263899994522944e-05,14,21,O4
5508,253.1599,1253842,7.6,253.1597888761,0.0001111238999840225,18,21,O1
5510,253.18103,3116379,22.5,253.1809182449,0.00011175509999361566,15,25,O3
5512,253.21738,335348448,2691.7,253.2173037537,7.624629998304044e-05,16,29,O2
5553,254.08232999999998,1405240,8.7,254.08226683030003,6.316969995623367e-05,15,12,O3N1
5557,254.11872999999997,2156870,14.8,254.1186523391,7.766089996152914e-05,16,16,O2N1
5561,254.15514,2529492,17.7,254.15503784790002,0.00010215209996999874,17,20,O1N1
5604,255.10275,3268798,23.6,255.10266792289997,8.207710001784108e-05,16,15,O3
5607,255.13916,11151820,86.7,255.1390534317,0.00010656829999788897,17,19,O2
5610,255.1602,2290516,15.8,255.16018280050002,1.71994999789149e-05,14,23,O4
5613,255.23293999999999,1829160448,14625.3,255.23295381810001,1.3818100029538982e-05,16,31,O2
5651,256.09812,1226612,7.3,256.09791689469995,0.0002031053000450811,15,14,O3N1
5652,256.11318,4196666,31.1,256.11317303469997,6.9653000309699564e-06,19,14,N1
5655,256.13426,2122306,14.5,256.1343024035,4.240350000372928e-05,16,18,O2N1
5659,256.17076000000003,1590607,10.2,256.1706879123,7.208770000488585e-05,17,22,O1N1
5689,257.08182999999997,1344769,8.2,257.0819324785,0.00010247850002542691,15,13,O4
5691,257.11822,1723758,11.2,257.1183179873,9.798729996646216e-05,16,17,O3
5696,257.15482000000003,13739195,106.7,257.1547034961,0.00011650390001705091,17,21,O2
5698,257.1759,2626371,18.4,257.1758328649,6.71351000391951e-05,14,25,O4
5700,257.19114,2351433,16.2,257.1910890049,5.0995100025374995e-05,18,25,O1
5702,257.21238,1978064,13.2,257.2122183737,0.00016162629998461853,15,29,O3
5738,258.07725,1065867,6.0,258.0771814503,6.854970001768379e-05,14,12,O4N1
5739,258.09254,3954192,28.9,258.0924375903,0.00010240969999131266,18,12,O1N1
5743,258.12892999999997,80751136,639.2,258.1288230991,0.000106900899993434,19,16,N1
5744,258.14999,3230757,23.2,258.1499524679,3.753210000922991e-05,16,20,O2N1
5773,259.0766,2104688,14.2,259.0764531741,0.00014682590000347773,18,11,O2
5777,259.11303,1689725,10.9,259.11283868289996,0.0001913171000182956,19,15,O1
5781,259.13409,3835268,28.0,259.1339680517,0.00012194830003409152,16,19,O3
5784,259.17048,26092432,204.9,259.1703535605,0.00012643949997936943,17,23,O2
5785,259.1914,2126616,14.4,259.1914829293,8.292929999242915e-05,14,27,O4
5789,259.2068,2287646,15.7,259.2067390693,6.0930699987693515e-05,18,27,O1
5826,260.07184,4022220,29.5,260.0717021459,0.00013785409998945397,17,10,O2N1
5830,260.10822,2040665,13.7,260.1080876547,0.00013234530001682288,18,14,O1N1
5838,260.14451,1422246,8.8,260.1444731635,3.683650004404626e-05,19,18,N1
5880,261.09218,3476267,25.0,261.0921032385,7.676149999724657e-05,18,13,O2
5883,261.11336,1976626,13.1,261.1132326073,0.0001273926999942887,15,17,O4
5884,261.12863,2325175,15.9,261.12848874729997,0.00014125270001841272,19,17,O1
5888,261.1494,3033151,21.5,261.1496181161,0.0002181160999725762,16,21,O3
5892,261.18613,26365514,205.7,261.18600362489997,0.00012637510002377894,17,25,O2
5895,261.22247999999996,3668311,26.5,261.2223891337,9.086629995636031e-05,18,29,O1
5922,262.08747,2731003,19.1,262.0873522103,0.00011778969997067179,17,12,O2N1
5924,262.12377999999995,7408007,56.0,262.1237377191,4.228089994740003e-05,18,16,O1N1
5928,262.1602,8261523,62.7,262.1601232279,7.677209998746548e-05,19,20,N1
5964,263.1078,7837388,59.4,263.1077533029,4.6697100003711967e-05,18,15,O2
5968,263.12894,2015699,13.4,263.1288826717,5.732829998805755e-05,15,19,O4
5971,263.14423999999997,1779672,11.6,263.1441388117,0.00010118829999328227,19,19,O1
5974,263.16532,2801887,19.6,263.1652681805,5.1819500015426456e-05,16,23,O3
5978,263.2017,24578282,191.6,263.2016536893,4.631070004279536e-05,17,27,O2
6002,264.10311,3726863,26.9,264.1030022747,0.00010772530004032888,17,14,O2N1
6007,264.13944,6984219,52.6,264.1393877835,5.221649996656197e-05,18,18,O1N1
6011,264.17591,16324134,126.4,264.1757732923,0.0001367076999940764,19,22,N1
6043,265.0871,1589192,10.0,265.0870178585,8.214150000185327e-05,17,13,O3
6048,265.12352000000004,8773460,66.3,265.1234033673,0.00011663270004191872,18,17,O2
6053,265.15993,2537311,17.4,265.1597888761,0.0001411238999935449,19,21,O1
6057,265.18102000000005,3241062,22.9,265.1809182449,0.00010175510004728494,16,25,O3
6059,265.21741000000003,73466736,573.8,265.2173037537,0.00010624630004940627,17,29,O2
6083,266.08242,1123199,6.3,266.0822668303,0.0001531697000132226,16,12,O3N1
6084,266.09756,11998852,91.6,266.0975229703,3.7029699967661145e-05,20,12,N1
6085,266.11877000000004,4883339,35.8,266.1186523391,0.00011766090005949081,17,16,O2N1
6089,266.15515,2024342,13.4,266.1550378479,0.00011215209997317288,18,20,O1N1
6120,267.10277,7214521,54.1,267.10266792289997,0.00010207710005261106,17,15,O3
6122,267.13917000000004,13689284,104.9,267.1390534317,0.00011656830002948482,18,19,O2
6125,267.16027,2410698,16.4,267.1601828005,8.719950000113386e-05,15,23,O4
6127,267.17554,1362255,8.2,267.1754389405,0.00010105950002525788,19,23,O1
6131,267.1967,12813781,98.0,267.1965683093,0.00013169070001595173,16,27,O3
6135,267.23296,133789152,1046.9,267.2329538181,6.181900005231e-06,17,31,O2
6159,268.09772999999996,1099876,6.1,268.09791689469995,0.0001868946999934451,16,14,O3N1
6160,268.11328,2801769,19.5,268.11317303469997,0.0001069653000058679,20,14,N1
6161,268.13443,3034863,21.3,268.1343024035,0.00012759650002180933,17,18,O2N1
6165,268.17076000000003,3116794,22.0,268.1706879123,7.208770000488585e-05,18,22,O1N1
6191,269.08198,1510023,9.3,269.0819324785,4.752149999376343e-05,16,13,O4
6193,269.11846,4253714,30.7,269.1183179873,0.0001420127000528737,17,17,O3
6197,269.15476,11886621,90.1,269.1547034961,5.650389999800609e-05,18,21,O2
6200,269.17598,4145443,29.8,269.1758328649,0.00014713510000774477,15,25,O4
6202,269.21226,33392686,257.7,269.2122183737,4.162630000337231e-05,16,29,O3
6205,269.24861,448419904,3491.0,269.2486038825,6.117499992797093e-06,17,33,O2
6225,270.09241000000003,1917101,12.5,270.0924375903,2.7590299964685983e-05,19,12,O1N1
6227,270.11375,1086003,6.0,270.11356695909996,0.00018304090002629891,16,16,O3N1
6228,270.1289,8071735,60.4,270.1288230991,7.69009000123333e-05,20,16,N1
6230,270.15,2745405,18.9,270.1499524679,4.7532099983982334e-05,17,20,O2N1
6234,270.18642,2998600,20.9,270.1863379767,8.202330002404778e-05,18,24,O1N1
6260,271.07659,1681222,10.6,271.0764531741,0.0001368259000287253,19,11,O2
6262,271.09758999999997,1449804,8.8,271.0975825429,7.457099968632974e-06,16,15,O4
6263,271.11289,1162832,6.6,271.11283868289996,5.131710003070111e-05,20,15,O1
6265,271.1341,3110102,21.8,271.1339680517,0.00013194830000884394,17,19,O3
6272,271.17045,17668704,135.2,271.1703535605,9.643949999826873e-05,18,23,O2
6274,271.19161,4890214,35.6,271.1914829293,0.000127070700045806,15,27,O4
6275,271.20679,2352234,15.8,271.2067390693,5.093070001294109e-05,19,27,O1
6276,271.22798,6024305,44.5,271.2278684381,0.00011156189998473565,16,31,O3
6301,272.1081,6336359,46.9,272.10808765469994,1.2345300035576656e-05,19,14,O1N1
6304,272.1446,68225904,529.0,272.1444731635,0.00012683650004419178,20,18,N1
6307,272.16565,3675255,26.2,272.1656025323,4.7467700028391846e-05,17,22,O2N1
6346,273.09216000000004,3266422,22.8,273.0921032385,5.676150004774172e-05,19,13,O2
6349,273.11343999999997,1507003,9.2,273.1132326073,0.00020739269996283838,16,17,O4
6352,273.12859,2712064,18.5,273.12848874729997,0.00010125270000571618,20,17,O1
6355,273.14964,4614278,33.2,273.1496181161,2.1883899989916245e-05,17,21,O3
6360,273.18613,28347536,216.9,273.18600362489997,0.00012637510002377894,18,25,O2
6361,273.20714,2550293,17.3,273.2071329937,7.006299995282461e-06,15,29,O4
6363,273.22242,3237657,22.6,273.22238913369995,3.086630005100233e-05,19,29,O1
6396,274.08747,6502787,47.8,274.08735221029997,0.00011778970002751521,18,12,O2N1
6399,274.12377000000004,2843789,19.5,274.12373771909995,3.228090008633444e-05,19,16,O1N1
6405,274.16033999999996,2707607,18.5,274.1601232279,0.00021677209997505997,20,20,N1
6407,274.18133,1158492,6.5,274.18125259669995,7.740330005390206e-05,17,24,O2N1
6434,275.07147000000003,1395209,8.3,275.0713677941,0.00010220590002063545,18,11,O3
6440,275.10786,8141459,60.5,275.1077533029,0.00010669710002275679,19,15,O2
6444,275.12894,2113432,13.9,275.1288826717,5.732829998805755e-05,16,19,O4
6448,275.14425,2360988,15.8,275.1441388117,0.00011118830002487812,20,19,O1
6452,275.16541,4301474,30.8,275.1652681805,0.00014181950001557198,17,23,O3
6455,275.20173,38295212,293.8,275.2016536893,7.631070002389606e-05,18,27,O2
6457,275.23811,4031925,28.7,275.23803919809995,7.080190005126497e-05,19,31,O1
6493,276.10318,4474263,32.1,276.1030022747,0.00017772530003412612,18,14,O2N1
6498,276.13948,10669984,80.1,276.13938778349996,9.221650003610193e-05,19,18,O1N1
6502,276.16066,1106982,6.1,276.1605171523,0.00014284770003314406,16,22,O3N1
6504,276.17587000000003,9877418,73.9,276.1757732923,9.670770003822327e-05,20,22,N1
6507,276.19693,1334191,7.9,276.19690266109995,2.7338900054019177e-05,17,26,O2N1
6537,277.08707000000004,1738132,11.0,277.0870178585,5.2141500020752574e-05,18,13,O3
6541,277.12351,6925982,51.1,277.1234033673,0.00010663270001032288,19,17,O2
6549,277.14457999999996,3894691,27.7,277.1445327361,4.72638999440278e-05,16,21,O4
6551,277.1596,1527463,9.3,277.1597888761,0.00018887609996909305,20,21,O1
6556,277.18104,4301484,30.8,277.1809182449,0.0001217550999967898,17,25,O3
6562,277.21737,34859188,265.3,277.2173037537,6.624630003670973e-05,18,29,O2
6599,278.08237,1306000,7.6,278.0822668303,0.00010316970002577364,17,12,O3N1
6603,278.11872,4937882,35.5,278.1186523391,6.766090001519842e-05,18,16,O2N1
6610,278.15515,7090595,52.0,278.15503784789996,0.0001121521000300163,19,20,O1N1
6615,278.19156,17607084,132.8,278.1914233567,0.00013664329998164249,20,24,N1
6625,278.24893,1808826,11.4,278.24893823429994,8.234299968989944e-06,18,32,O1N1
6663,279.10286,2785935,18.9,279.10266792289997,0.00019207710005275658,18,15,O3
6667,279.13914,10206872,75.9,279.1390534317,8.65682999915407e-05,19,19,O2
6672,279.16033,1207197,6.8,279.1601828005,0.00014719949996333526,16,23,O4
6673,279.17559,3183265,22.0,279.1754389405,0.00015105950001270685,20,23,O1
6676,279.19667999999996,2653862,17.9,279.1965683093,0.00011169069995276004,17,27,O3
6680,279.23307,235987632,1810.4,279.2329538181,0.00011618190001172479,18,31,O2
6705,280.09811,2153347,14.1,280.09791689469995,0.00019310530007032867,17,14,O3N1
6706,280.11327,38736776,295.1,280.11317303469997,9.696530003111548e-05,21,14,N1
6708,280.13436,4772236,34.2,280.1343024035,5.759650002801209e-05,18,18,O2N1
6710,280.17073,3067029,21.1,280.17068791229997,4.2087700023785146e-05,19,22,O1N1
6717,280.26466,3667884,25.7,280.26458829869995,7.170130004396924e-05,18,34,O1N1
6735,281.08199,1760625,11.1,281.0819324785,5.7521500025359273e-05,17,13,O4
6741,281.11831,6359930,46.4,281.1183179873,7.987299966316641e-06,18,17,O3
6744,281.15486,15042691,113.1,281.1547034961,0.00015650389997290404,19,21,O2
6748,281.17591,1843336,11.7,281.1758328649,7.713510001394752e-05,16,25,O4
6750,281.19085,2135179,13.9,281.1910890049,0.00023900489998140984,20,25,O1
6751,281.21237,6591121,48.2,281.2122183737,0.0001516263000098661,17,29,O3
6754,281.24851,5246346240,40299.7,281.2486038825,9.388249998210085e-05,18,33,O2
6771,282.0926,2419554,16.0,282.0924375903,0.00016240970001035748,20,12,O1N1
6772,282.11367,2146919,13.9,282.11356695909996,0.00010304090005774924,17,16,O3N1
6775,282.12882,6531947,47.4,282.1288230991,3.099099956216378e-06,21,16,N1
6777,282.15008,3690864,25.7,282.1499524679,0.00012753210000937543,18,20,O2N1
6781,282.18642,2809976,19.0,282.1863379767,8.202330002404778e-05,19,24,O1N1
6786,282.28041,1319822,7.6,282.28023836309995,0.0001716369000632767,18,36,O1N1
6810,283.09775,1789134,11.2,283.0975825429,0.00016745710001941916,17,15,O4
6811,283.11298999999997,1178578,6.5,283.11283868289996,0.00015131710000559906,21,15,O1
6813,283.13399,4087895,28.7,283.1339680517,2.1948300002350152e-05,18,19,O3
6818,283.17049,17450592,130.6,283.1703535605,0.00013643949995412186,19,23,O2
6819,283.19156,5942884,42.9,283.1914829293,7.707070000151361e-05,16,27,O4
6820,283.22797,13137516,97.7,283.2278684381,0.00010156190000998322,17,31,O3
6825,283.26422,2689394176,20507.3,283.2642539469,3.394689997548994e-05,18,35,O2
6849,284.10816,6282552,45.5,284.10808765469994,7.234530005462148e-05,20,14,O1N1
6851,284.12931000000003,1478461,8.8,284.12921702349996,9.29765000705629e-05,17,18,O3N1
6854,284.14461,16933696,126.7,284.1444731635,0.0001368365000189442,21,18,N1
6856,284.16559,3454534,23.9,284.1656025323,1.2532299990652973e-05,18,22,O2N1
6859,284.20209,2206990,14.4,284.2019880411,0.00010195890001796215,19,26,O1N1
6865,284.25877,2079323,13.4,284.2595029187,0.0007329186999527337,17,34,O2N1
6889,285.09226,2643993,17.7,285.0921032385,0.00015676150002263967,20,13,O2
6891,285.1134,1229854,6.9,285.1132326073,0.00016739270000698525,17,17,O4
6893,285.12813,1714977,10.6,285.12848874729997,0.00035874729996976384,21,17,O1
6898,285.14974,4350502,30.7,285.1496181161,0.00012188390002165761,18,21,O3
6903,285.18613,23306286,175.3,285.18600362489997,0.00012637510002377894,19,25,O2
6904,285.20717,15535155,116.0,285.2071329937,3.700630003322658e-05,16,29,O4
6907,285.22253,2979383,20.3,285.22238913369995,0.00014086630005749612,20,29,O1
